tab_num,tab_id,item_id,item_label,choice,choice_name,selected,min,max,value,step
02a,explore-results,w_explore_results_timeseries_plot_variable,Plot…,biomass,Biomass,TRUE,,,,
02a,explore-results,w_explore_results_timeseries_plot_variable,Plot…,catches_total,Catches,FALSE,,,,
02a,explore-results,w_explore_results_timeseries_plot_variable,Plot…,revenue_total,Revenue,FALSE,,,,
02a,explore-results,w_explore_results_timeseries_plot_variable,Plot…,u_mort_total,Mortality,FALSE,,,,
02a,explore-results,w_explore_results_timeseries_plot_resolution,Resolution…,global,Global,TRUE,,,,
02a,explore-results,w_explore_results_timeseries_plot_resolution,Resolution…,regional,Regional,FALSE,,,,
02b,edit-policies,w_run_name,Description of policy: ,,,TRUE,,,,
02b,edit-policies,w_iuu_definitions,Subsidies shall be prohibited to all Member-flagged vessels classified as IUU by a:,IUU1,RFMO/A,FALSE,,,,
02b,edit-policies,w_iuu_definitions,Subsidies shall be prohibited to all Member-flagged vessels classified as IUU by a:,IUU2,coastal Member state,FALSE,,,,
02b,edit-policies,w_iuu_definitions,Subsidies shall be prohibited to all Member-flagged vessels classified as IUU by a:,IUU3,flag Member state,FALSE,,,,
02b,edit-policies,w_iuu_definitions,Subsidies shall be prohibited to all Member-flagged vessels classified as IUU by a:,IUU4,subsidizing Member state,FALSE,,,,
02b,edit-policies,w_iuu_definitions,Subsidies shall be prohibited to all Member-flagged vessels classified as IUU by a:,IUU5,port Member state,FALSE,,,,
02b,edit-policies,w_iuu_definitions,Subsidies shall be prohibited to all Member-flagged vessels classified as IUU by a:,IUU6,market Member state,FALSE,,,,
02b,edit-policies,w_iuu_assumption,Would you like to make an assumption about IUU fishing worldwide instead?,YES,Yes,FALSE,,,,
02b,edit-policies,w_iuu_assumption,Would you like to make an assumption about IUU fishing worldwide instead?,NO,No,TRUE,,,,
02b,edit-policies,w_iuu_percent,Assumed % of global fishing effort identified as IUU:,,,TRUE,0,100,20,
02b,edit-policies,w_iuu_scope,IUU discipline(s) apply to: ,ALL,All Members,TRUE,,,,
02b,edit-policies,w_iuu_scope,IUU discipline(s) apply to: ,SELECT,Only some Members and/or type(s) of fishing activity,FALSE,,,,
