iso3,year,variable,value,units,source
ABW,2000,gdp,1873452513.96648,2000 US$,World Bank WDI database
ABW,2001,gdp,1920111731.84358,2001 US$,World Bank WDI database
ABW,2002,gdp,1941340782.12291,2002 US$,World Bank WDI database
ABW,2003,gdp,2021229050.27933,2003 US$,World Bank WDI database
ABW,2004,gdp,2228491620.11173,2004 US$,World Bank WDI database
ABW,2005,gdp,2330726256.98324,2005 US$,World Bank WDI database
ABW,2006,gdp,2424581005.58659,2006 US$,World Bank WDI database
ABW,2007,gdp,2615083798.88268,2007 US$,World Bank WDI database
ABW,2008,gdp,2745251396.64804,2008 US$,World Bank WDI database
ABW,2009,gdp,2498882681.56425,2009 US$,World Bank WDI database
ABW,2010,gdp,2390502793.29609,2010 US$,World Bank WDI database
ABW,2011,gdp,2549720670.39106,2011 US$,World Bank WDI database
ABW,2012,gdp,2534636871.50838,2012 US$,World Bank WDI database
ABW,2013,gdp,2701675977.65363,2013 US$,World Bank WDI database
ABW,2014,gdp,2765363128.49162,2014 US$,World Bank WDI database
ABW,2015,gdp,2919553072.6257,2015 US$,World Bank WDI database
ABW,2016,gdp,2965921787.7095,2016 US$,World Bank WDI database
ABW,2017,gdp,3056424581.00559,2017 US$,World Bank WDI database
AFG,2002,gdp,4055179566.34981,2002 US$,World Bank WDI database
AFG,2003,gdp,4515558808.10994,2003 US$,World Bank WDI database
AFG,2004,gdp,5226778808.89209,2004 US$,World Bank WDI database
AFG,2005,gdp,6209137624.77181,2005 US$,World Bank WDI database
AFG,2006,gdp,6971285594.68013,2006 US$,World Bank WDI database
AFG,2007,gdp,9747879531.86311,2007 US$,World Bank WDI database
AFG,2008,gdp,10109225813.6696,2008 US$,World Bank WDI database
AFG,2009,gdp,12439087076.7667,2009 US$,World Bank WDI database
AFG,2010,gdp,15856574731.4411,2010 US$,World Bank WDI database
AFG,2011,gdp,17804292964.1045,2011 US$,World Bank WDI database
AFG,2012,gdp,20001598505.7042,2012 US$,World Bank WDI database
AFG,2013,gdp,20561069558.2152,2013 US$,World Bank WDI database
AFG,2014,gdp,20484885119.7348,2014 US$,World Bank WDI database
AFG,2015,gdp,19907111418.9938,2015 US$,World Bank WDI database
AFG,2016,gdp,19362642266.6484,2016 US$,World Bank WDI database
AFG,2017,gdp,20191760000.0587,2017 US$,World Bank WDI database
AFG,2018,gdp,19484384936.6312,2018 US$,World Bank WDI database
AGO,2000,gdp,9129594818.60749,2000 US$,World Bank WDI database
AGO,2001,gdp,8936063723.20121,2001 US$,World Bank WDI database
AGO,2002,gdp,15285594828.418,2002 US$,World Bank WDI database
AGO,2003,gdp,17812705294.325,2003 US$,World Bank WDI database
AGO,2004,gdp,23552052407.5488,2004 US$,World Bank WDI database
AGO,2005,gdp,36970918699.2523,2005 US$,World Bank WDI database
AGO,2006,gdp,52381006892.038,2006 US$,World Bank WDI database
AGO,2007,gdp,65266452081.386,2007 US$,World Bank WDI database
AGO,2008,gdp,88538611205.1433,2008 US$,World Bank WDI database
AGO,2009,gdp,70307163678.238,2009 US$,World Bank WDI database
AGO,2010,gdp,83799496611.2004,2010 US$,World Bank WDI database
AGO,2011,gdp,111789686464.441,2011 US$,World Bank WDI database
AGO,2012,gdp,128052853643.106,2012 US$,World Bank WDI database
AGO,2013,gdp,136709862831.194,2013 US$,World Bank WDI database
AGO,2014,gdp,145712200312.505,2014 US$,World Bank WDI database
AGO,2015,gdp,116193649124.151,2015 US$,World Bank WDI database
AGO,2016,gdp,101123851090.455,2016 US$,World Bank WDI database
AGO,2017,gdp,122123822333.591,2017 US$,World Bank WDI database
AGO,2018,gdp,101353230784.594,2018 US$,World Bank WDI database
ALB,2000,gdp,3480355188.60063,2000 US$,World Bank WDI database
ALB,2001,gdp,3922099470.97313,2001 US$,World Bank WDI database
ALB,2002,gdp,4348070165.19261,2002 US$,World Bank WDI database
ALB,2003,gdp,5611492282.86582,2003 US$,World Bank WDI database
ALB,2004,gdp,7184681398.5698,2004 US$,World Bank WDI database
ALB,2005,gdp,8052075642.10781,2005 US$,World Bank WDI database
ALB,2006,gdp,8896073938.31407,2006 US$,World Bank WDI database
ALB,2007,gdp,10677321490.3807,2007 US$,World Bank WDI database
ALB,2008,gdp,12881354103.8398,2008 US$,World Bank WDI database
ALB,2009,gdp,12044223352.5413,2009 US$,World Bank WDI database
ALB,2010,gdp,11926928505.5231,2010 US$,World Bank WDI database
ALB,2011,gdp,12890765324.2256,2011 US$,World Bank WDI database
ALB,2012,gdp,12319830252.4768,2012 US$,World Bank WDI database
ALB,2013,gdp,12776217194.7928,2013 US$,World Bank WDI database
ALB,2014,gdp,13228144008.3428,2014 US$,World Bank WDI database
ALB,2015,gdp,11386846319.1589,2015 US$,World Bank WDI database
ALB,2016,gdp,11861200797.4707,2016 US$,World Bank WDI database
ALB,2017,gdp,13019693450.8816,2017 US$,World Bank WDI database
ALB,2018,gdp,15147020535.3869,2018 US$,World Bank WDI database
AND,2000,gdp,1429049198.45218,2000 US$,World Bank WDI database
AND,2001,gdp,1546926174.49664,2001 US$,World Bank WDI database
AND,2002,gdp,1755910031.99699,2002 US$,World Bank WDI database
AND,2003,gdp,2361726862.30248,2003 US$,World Bank WDI database
AND,2004,gdp,2894921777.99851,2004 US$,World Bank WDI database
AND,2005,gdp,3159905484.39249,2005 US$,World Bank WDI database
AND,2006,gdp,3456442102.622,2006 US$,World Bank WDI database
AND,2007,gdp,3952600602.24473,2007 US$,World Bank WDI database
AND,2008,gdp,4085630584.44412,2008 US$,World Bank WDI database
AND,2009,gdp,3674409558.21061,2009 US$,World Bank WDI database
AND,2010,gdp,3449966856.68832,2010 US$,World Bank WDI database
AND,2011,gdp,3629203786.19154,2011 US$,World Bank WDI database
AND,2012,gdp,3188808942.56713,2012 US$,World Bank WDI database
AND,2013,gdp,3193704343.20627,2013 US$,World Bank WDI database
AND,2014,gdp,3271808157.30039,2014 US$,World Bank WDI database
AND,2015,gdp,2789870187.50693,2015 US$,World Bank WDI database
AND,2016,gdp,2896679211.86628,2016 US$,World Bank WDI database
AND,2017,gdp,3000180750.11297,2017 US$,World Bank WDI database
AND,2018,gdp,3218316013.22626,2018 US$,World Bank WDI database
ARE,2000,gdp,104337372362.151,2000 US$,World Bank WDI database
ARE,2001,gdp,103311640571.818,2001 US$,World Bank WDI database
ARE,2002,gdp,109816201497.617,2002 US$,World Bank WDI database
ARE,2003,gdp,124346358066.712,2003 US$,World Bank WDI database
ARE,2004,gdp,147824370319.946,2004 US$,World Bank WDI database
ARE,2005,gdp,180617467964.602,2005 US$,World Bank WDI database
ARE,2006,gdp,222116541865.214,2006 US$,World Bank WDI database
ARE,2007,gdp,257916133424.098,2007 US$,World Bank WDI database
ARE,2008,gdp,315474615738.598,2008 US$,World Bank WDI database
ARE,2009,gdp,253547358747.447,2009 US$,World Bank WDI database
