iso3,sovereign_iso3,WTO_name,WTO_status,is_EU,is_overseas_territory,is_permanently_inhabited
AUT,AUT,Austria,Member,TRUE,FALSE,TRUE
BEL,BEL,Belgium,Member,TRUE,FALSE,TRUE
BGR,BGR,Bulgaria,Member,TRUE,FALSE,TRUE
HRV,HRV,Croatia,Member,TRUE,FALSE,TRUE
CYP,CYP,Cyprus,Member,TRUE,FALSE,TRUE
CZE,CZE,Czech Republic,Member,TRUE,FALSE,TRUE
DNK,DNK,Denmark,Member,TRUE,FALSE,TRUE
EST,EST,Estonia,Member,TRUE,FALSE,TRUE
FIN,FIN,Finland,Member,TRUE,FALSE,TRUE
FRA,FRA,France,Member,TRUE,FALSE,TRUE
DEU,DEU,Germany,Member,TRUE,FALSE,TRUE
GRC,GRC,Greece,Member,TRUE,FALSE,TRUE
HUN,HUN,Hungary,Member,TRUE,FALSE,TRUE
IRL,IRL,Ireland,Member,TRUE,FALSE,TRUE
ITA,ITA,Italy,Member,TRUE,FALSE,TRUE
LVA,LVA,Latvia,Member,TRUE,FALSE,TRUE
LTU,LTU,Lithuania,Member,TRUE,FALSE,TRUE
LUX,LUX,Luxembourg,Member,TRUE,FALSE,TRUE
MLT,MLT,Malta,Member,TRUE,FALSE,TRUE
NLD,NLD,Netherlands,Member,TRUE,FALSE,TRUE
POL,POL,Poland,Member,TRUE,FALSE,TRUE
PRT,PRT,Portugal,Member,TRUE,FALSE,TRUE
ROU,ROU,Romania,Member,TRUE,FALSE,TRUE
SVK,SVK,Slovak Republic,Member,TRUE,FALSE,TRUE
SVN,SVN,Slovenia,Member,TRUE,FALSE,TRUE
ESP,ESP,Spain,Member,TRUE,FALSE,TRUE
SWE,SWE,Sweden,Member,TRUE,FALSE,TRUE
GBR,GBR,United Kingdom,Member,TRUE,FALSE,TRUE
ABW,NLD,,,FALSE,TRUE,TRUE
BES,NLD,,,FALSE,TRUE,TRUE
CUW,NLD,Curaçao,Observer,FALSE,TRUE,TRUE
SXM,NLD,,,FALSE,TRUE,TRUE
ATF,FRA,,,FALSE,TRUE,FALSE
CPT,FRA,,,FALSE,TRUE,FALSE
BLM,FRA,,,FALSE,TRUE,TRUE
GLP,FRA,,,FALSE,TRUE,TRUE
GUF,FRA,,,FALSE,TRUE,TRUE
MAF,FRA,,,FALSE,TRUE,TRUE
