group_for_pairing,Year,EEPEF
"Abalones, winkles, conchs",1976,3.704377211
"Abalones, winkles, conchs",1977,3.704377211
"Abalones, winkles, conchs",1978,3.704377211
"Abalones, winkles, conchs",1979,3.704377211
"Abalones, winkles, conchs",1980,3.704377211
"Abalones, winkles, conchs",1981,3.704377211
"Abalones, winkles, conchs",1982,3.704377211
"Abalones, winkles, conchs",1983,3.704377211
"Abalones, winkles, conchs",1984,3.704377211
"Abalones, winkles, conchs",1985,3.704377211
"Abalones, winkles, conchs",1986,3.704377211
"Abalones, winkles, conchs",1987,3.704377211
"Abalones, winkles, conchs",1988,3.704377211
"Abalones, winkles, conchs",1989,3.704377211
"Abalones, winkles, conchs",1990,3.704377211
"Abalones, winkles, conchs",1991,3.704377211
"Abalones, winkles, conchs",1992,3.704377211
"Abalones, winkles, conchs",1993,3.704377211
"Abalones, winkles, conchs",1994,3.896071513
"Abalones, winkles, conchs",1995,3.07383541
"Abalones, winkles, conchs",1996,3.608327645
"Abalones, winkles, conchs",1997,3.508966335
"Abalones, winkles, conchs",1998,2.652946975
"Abalones, winkles, conchs",1999,2.840868676
"Abalones, winkles, conchs",2000,3.367865447
"Abalones, winkles, conchs",2001,2.973977463
"Abalones, winkles, conchs",2002,3.098410832
"Abalones, winkles, conchs",2003,3.762034073
"Abalones, winkles, conchs",2004,4.625996141
"Abalones, winkles, conchs",2005,4.677277634
"Abalones, winkles, conchs",2006,4.663290051
"Abalones, winkles, conchs",2007,4.911768116
"Abalones, winkles, conchs",2008,3.704377211
"Abalones, winkles, conchs",2009,3.042499412
"Abalones, winkles, conchs",2010,3.718118161
"Abalones, winkles, conchs",2011,4.104716152
"Abalones, winkles, conchs",2012,5.3782698
"Carps, barbels and other cyprinids",1976,1.918327425
"Carps, barbels and other cyprinids",1977,1.918327425
"Carps, barbels and other cyprinids",1978,1.918327425
"Carps, barbels and other cyprinids",1979,1.918327425
"Carps, barbels and other cyprinids",1980,1.918327425
"Carps, barbels and other cyprinids",1981,1.918327425
"Carps, barbels and other cyprinids",1982,1.918327425
"Carps, barbels and other cyprinids",1983,1.918327425
"Carps, barbels and other cyprinids",1984,1.918327425
"Carps, barbels and other cyprinids",1985,1.918327425
"Carps, barbels and other cyprinids",1986,1.918327425
"Carps, barbels and other cyprinids",1987,1.918327425
"Carps, barbels and other cyprinids",1988,1.918327425
"Carps, barbels and other cyprinids",1989,1.918327425
"Carps, barbels and other cyprinids",1990,1.918327425
"Carps, barbels and other cyprinids",1991,1.918327425
"Carps, barbels and other cyprinids",1992,1.918327425
"Carps, barbels and other cyprinids",1993,1.918327425
"Carps, barbels and other cyprinids",1994,1.221364276
"Carps, barbels and other cyprinids",1995,1.654173338
"Carps, barbels and other cyprinids",1996,1.706897795
"Carps, barbels and other cyprinids",1997,2.074654936
"Carps, barbels and other cyprinids",1998,1.814950552
"Carps, barbels and other cyprinids",1999,1.848935725
"Carps, barbels and other cyprinids",2000,1.445040388
"Carps, barbels and other cyprinids",2001,1.433764506
"Carps, barbels and other cyprinids",2002,1.667549669
"Carps, barbels and other cyprinids",2003,2.10408631
"Carps, barbels and other cyprinids",2004,1.918327425
"Carps, barbels and other cyprinids",2005,1.986020073
"Carps, barbels and other cyprinids",2006,1.780183647
"Carps, barbels and other cyprinids",2007,2.422968914
"Carps, barbels and other cyprinids",2008,3.161040402
"Carps, barbels and other cyprinids",2009,2.620144139
"Carps, barbels and other cyprinids",2010,2.810388596
"Carps, barbels and other cyprinids",2011,2.462498539
"Carps, barbels and other cyprinids",2012,2.60045025
"Clams, cockles, arkshells",1976,3.55133608
"Clams, cockles, arkshells",1977,3.55133608
"Clams, cockles, arkshells",1978,3.55133608
"Clams, cockles, arkshells",1979,3.55133608
"Clams, cockles, arkshells",1980,3.55133608
"Clams, cockles, arkshells",1981,3.55133608
"Clams, cockles, arkshells",1982,3.55133608
"Clams, cockles, arkshells",1983,3.55133608
"Clams, cockles, arkshells",1984,3.55133608
"Clams, cockles, arkshells",1985,3.55133608
"Clams, cockles, arkshells",1986,3.55133608
"Clams, cockles, arkshells",1987,3.55133608
"Clams, cockles, arkshells",1988,3.55133608
"Clams, cockles, arkshells",1989,3.55133608
"Clams, cockles, arkshells",1990,3.55133608
"Clams, cockles, arkshells",1991,3.55133608
"Clams, cockles, arkshells",1992,3.55133608
"Clams, cockles, arkshells",1993,3.55133608
"Clams, cockles, arkshells",1994,4.310158016
"Clams, cockles, arkshells",1995,3.665611618
"Clams, cockles, arkshells",1996,3.303395758
"Clams, cockles, arkshells",1997,3.341970433
"Clams, cockles, arkshells",1998,2.725602956
"Clams, cockles, arkshells",1999,3.203725868
"Clams, cockles, arkshells",2000,3.019374252
"Clams, cockles, arkshells",2001,2.745742646
"Clams, cockles, arkshells",2002,2.863001814
"Clams, cockles, arkshells",2003,3.484480632
"Clams, cockles, arkshells",2004,3.866216245
"Clams, cockles, arkshells",2005,5.077709354
"Clams, cockles, arkshells",2006,4.113027149
"Clams, cockles, arkshells",2007,3.863501775
"Clams, cockles, arkshells",2008,4.175430739
"Clams, cockles, arkshells",2009,3.753222462
"Clams, cockles, arkshells",2010,3.55133608
"Clams, cockles, arkshells",2011,2.625720253
"Clams, cockles, arkshells",2012,3.623039252
"Cods, hakes, haddocks",1976,2.597948204
"Cods, hakes, haddocks",1977,2.597948204
"Cods, hakes, haddocks",1978,2.597948204
"Cods, hakes, haddocks",1979,2.597948204
"Cods, hakes, haddocks",1980,2.597948204
"Cods, hakes, haddocks",1981,2.597948204
"Cods, hakes, haddocks",1982,2.597948204
"Cods, hakes, haddocks",1983,2.597948204
"Cods, hakes, haddocks",1984,2.597948204
"Cods, hakes, haddocks",1985,2.597948204
"Cods, hakes, haddocks",1986,2.597948204
"Cods, hakes, haddocks",1987,2.597948204
"Cods, hakes, haddocks",1988,2.597948204
"Cods, hakes, haddocks",1989,2.597948204
"Cods, hakes, haddocks",1990,2.597948204
"Cods, hakes, haddocks",1991,2.597948204
"Cods, hakes, haddocks",1992,2.597948204
"Cods, hakes, haddocks",1993,2.597948204
"Cods, hakes, haddocks",1994,2.244823624
"Cods, hakes, haddocks",1995,2.367375818
"Cods, hakes, haddocks",1996,2.196910485
"Cods, hakes, haddocks",1997,2.29258901
"Cods, hakes, haddocks",1998,2.615316758
"Cods, hakes, haddocks",1999,3.004608908
"Cods, hakes, haddocks",2000,2.597948204
"Cods, hakes, haddocks",2001,2.598275461
"Cods, hakes, haddocks",2002,2.569932234
"Cods, hakes, haddocks",2003,2.598755015
"Cods, hakes, haddocks",2004,2.629048074
"Cods, hakes, haddocks",2005,2.657441308
"Cods, hakes, haddocks",2006,2.751089323
"Cods, hakes, haddocks",2007,2.816624859
"Cods, hakes, haddocks",2008,2.843875504
"Cods, hakes, haddocks",2009,2.573904687
"Cods, hakes, haddocks",2010,2.369525002
