Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2021,biomass,Total,atlantic,117866861.53230283,118803595.13043761,0.007947387297472604,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2022,biomass,Total,atlantic,118883793.12354997,121098628.05661386,0.018630251229973187,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2023,biomass,Total,atlantic,119598964.26762636,123134710.86338161,0.02956335464447097,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2024,biomass,Total,atlantic,120095250.65103392,124848897.76573464,0.0395823072846869,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2025,biomass,Total,atlantic,120435275.53810576,126242199.40444829,0.048216138007715334,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2026,biomass,Total,atlantic,120665304.60641608,127345752.0758577,0.05536344926349613,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2027,biomass,Total,atlantic,120818898.19720522,128202344.31532785,0.0611116822640701,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2028,biomass,Total,atlantic,120920026.6979776,128856433.66162384,0.06563351977641409,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2029,biomass,Total,atlantic,120985579.7460104,129349099.93010427,0.0691282399245574,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2030,biomass,Total,atlantic,121027310.74467619,129715875.2356369,0.07179011445846667,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2031,biomass,Total,atlantic,121053302.4625831,129986196.35572384,0.0737930623239449,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2032,biomass,Total,atlantic,121069048.50561109,130183710.95369975,0.07528482763012902,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2033,biomass,Total,atlantic,121078237.89810942,130326976.61002575,0.07638646607740847,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2034,biomass,Total,atlantic,121083316.20717616,130430287.18003875,0.07719454063241642,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2035,biomass,Total,atlantic,121085881.84254226,130504483.3109972,0.07778447268280797,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2036,biomass,Total,atlantic,121086962.73501828,130557678.17448692,0.07821416299122111,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2037,biomass,Total,atlantic,121087207.37895015,130595872.65697356,0.07852741411621982,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2038,biomass,Total,atlantic,121087015.30537482,130623457.92333612,0.07875693850336402,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2039,biomass,Total,atlantic,121086625.19064076,130643615.0568816,0.07892688272709032,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2040,biomass,Total,atlantic,121086173.64931583,130658626.31235161,0.07905487781585264,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2041,biomass,Total,atlantic,121085733.95595136,130670113.49088162,0.07915366428234122,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2042,biomass,Total,atlantic,121085341.17456228,130679217.94367878,0.0792323552632645,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2043,biomass,Total,atlantic,121085008.18928654,130686734.84315614,0.07929740268803276,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2044,biomass,Total,atlantic,121084735.72050467,130693212.24854818,0.07935332617170171,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2045,biomass,Total,atlantic,121084518.42100461,130699023.46319862,0.07940325623433436,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2046,biomass,Total,atlantic,121084348.45874977,130704419.38318989,0.0794493346736504,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2047,biomass,Total,atlantic,121084217.51933184,130709566.02291037,0.07949300660956728,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2048,biomass,Total,atlantic,121084117.83873887,130714571.17063293,0.07953523140598832,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2049,biomass,Total,atlantic,121084042.65986128,130719503.14872375,0.07957663352824752,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2050,biomass,Total,atlantic,121083986.36156914,130724403.89137386,0.07961760939235557,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2051,biomass,Total,atlantic,121083944.41419418,130729297.96910149,0.07965840228918593,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2052,biomass,Total,atlantic,121083913.25376232,130734198.74806571,0.07969915437138828,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2053,biomass,Total,atlantic,121083890.12821208,130739112.54259707,0.07973994231735838,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2054,biomass,Total,atlantic,121083872.94449046,130744041.37567246,0.07978080149129846,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2055,biomass,Total,atlantic,121083860.13066563,130748984.78367348,0.07982174207675484,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2056,biomass,Total,atlantic,121083850.51858376,130753940.97237779,0.07986275966925814,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2057,biomass,Total,atlantic,121083843.24782686,130758907.53811404,0.07990384208803865,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2058,biomass,Total,atlantic,121083837.68930975,130763881.90172353,0.079944973640924,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2059,biomass,Total,atlantic,121083833.38582112,130768861.55614805,0.0799861376990485,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2060,biomass,Total,atlantic,121083830.00656402,130773844.19568758,0.08002731816955455,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2061,biomass,Total,atlantic,121083827.3129091,130778827.77224094,0.08006850026533831,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2062,biomass,Total,atlantic,121083825.13291922,130783810.50824149,0.08010967083897583,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2063,biomass,Total,atlantic,121083823.34260607,130788790.88540468,0.08015081845688381,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2064,biomass,Total,atlantic,121083821.85227388,130793767.62129962,0.08019193332757688,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2065,biomass,Total,atlantic,121083820.59665568,130798739.6410586,0.0802330071559638,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2066,biomass,Total,atlantic,121083819.52784365,130803706.04848216,0.0802740329677442,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
2067,biomass,Total,atlantic,121083818.61025703,130808666.09885116,0.08031500492973663,Absolute,All subsidies,"Reference: All capacity-enhancing & 
ambiguous subsidies (absolute $)"
