Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2020,biomass,Total,atlantic,117019114.06752095,117019114.06752095,0,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2021,biomass,Total,atlantic,118852817.9313738,119622513.12736993,0.006476036575258538,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2022,biomass,Total,atlantic,120014475.15893954,122014280.16320725,0.016663031701961723,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2023,biomass,Total,atlantic,120683163.36176063,124016990.24930991,0.02762462297707411,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2024,biomass,Total,atlantic,121031196.4013821,125585485.30268566,0.03762904967244918,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2025,biomass,Total,atlantic,121187690.68898603,126754990.43583351,0.04593948209752838,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2026,biomass,Total,atlantic,121238701.10430989,127594604.0452962,0.05242470335868994,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2027,biomass,Total,atlantic,121237200.07444659,128179228.72588381,0.05725988926809939,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2028,biomass,Total,atlantic,121213591.07086831,128575924.75351058,0.060738516346222515,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2029,biomass,Total,atlantic,121184021.36012863,128839047.47269736,0.06316860941443683,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2030,biomass,Total,atlantic,121156184.80245858,129009979.19866018,0.06482371831868892,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
2031,biomass,Total,atlantic,121133073.37987775,129118866.74185674,0.06592578838427762,Effective,Capacity-enhancing subsidies,"Reference: All capacity-enhancing 
subsidies (effective $)"
