Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2020,biomass,Total,atlantic,117019114.06752095,117019114.06752095,0,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2021,biomass,Total,atlantic,118852817.92671686,119178404.95712346,0.0027394136385335607,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2022,biomass,Total,atlantic,120013541.11979523,120888363.23391877,0.007289361733358966,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2023,biomass,Total,atlantic,120679226.17591824,122178365.06387173,0.01242250995020588,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2024,biomass,Total,atlantic,121021561.50796205,123115859.70793107,0.017305165904930413,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2025,biomass,Total,atlantic,121169747.10344853,123776517.6004691,0.02151337738449718,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2026,biomass,Total,atlantic,121210462.98943822,124230428.1591471,0.024915053496429803,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2027,biomass,Total,atlantic,121197561.31266211,124535103.90567023,0.02753803423814788,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2028,biomass,Total,atlantic,121162329.44393906,124735115.2002671,0.02948759546572723,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2029,biomass,Total,atlantic,121121645.41997902,124863549.06928584,0.030893764994127066,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2030,biomass,Total,atlantic,121083714.03772165,124944146.68409757,0.03188234418687611,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2031,biomass,Total,atlantic,121051816.66593142,124993469.42656541,0.03256169852875344,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2032,biomass,Total,atlantic,121026632.15090957,125022790.08128975,0.03301883113955714,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2033,biomass,Total,atlantic,121007603.84926926,125039611.44339779,0.0333202829067744,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2034,biomass,Total,atlantic,120993702.39143872,125048820.60124896,0.033515117974414296,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2035,biomass,Total,atlantic,120983822.13032205,125053532.15183726,0.03363846462985251,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2036,biomass,Total,atlantic,120976965.10037687,125055685.4261314,0.03371485077651214,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2037,biomass,Total,atlantic,120972307.97716993,125056456.76637676,0.03376102231576502,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2038,biomass,Total,atlantic,120969209.11986506,125056537.76639397,0.033788173670532086,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2039,biomass,Total,atlantic,120967188.44401357,125056319.13760778,0.033803635069907925,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2040,biomass,Total,atlantic,120965897.96201509,125056009.72101746,0.03381210595639709,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2041,biomass,Total,atlantic,120965092.00072284,125055711.88734594,0.033816531852004506,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2042,biomass,Total,atlantic,120964601.08383071,125055468.20432226,0.03381871294442994,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2043,biomass,Total,atlantic,120964310.75704175,125055289.5556449,0.03381971734472928,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2044,biomass,Total,atlantic,120964145.28397585,125055171.53876881,0.0338201559246242,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2045,biomass,Total,atlantic,120964055.55876179,125055103.62741548,0.03382036134417089,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2046,biomass,Total,atlantic,120964010.40996686,125055073.98757794,0.03382050217867119,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2047,biomass,Total,atlantic,120963990.50098388,125055071.76812899,0.03382065398306975,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2048,biomass,Total,atlantic,120963984.14692906,125055087.98730753,0.033820842370810254,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2049,biomass,Total,atlantic,120963984.50534452,125055115.68671325,0.03382106829647271,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2050,biomass,Total,atlantic,120963987.72746739,125055149.74163014,0.03382132228792062,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2051,biomass,Total,atlantic,120963991.76634344,125055186.54280639,0.033821592002069335,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2052,biomass,Total,atlantic,120963995.62484363,125055223.6610785,0.033821865879193995,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2053,biomass,Total,atlantic,120963998.89237155,125055259.54638994,0.03382213461427157,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2054,biomass,Total,atlantic,120964001.46715894,125055293.27981114,0.03382239148035264,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2055,biomass,Total,atlantic,120964003.39529042,125055324.38024114,0.03382263210635447,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2056,biomass,Total,atlantic,120964004.78139292,125055352.6597482,0.03382285404446715,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2057,biomass,Total,atlantic,120964005.74210274,125055378.11882532,0.03382305630193372,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2058,biomass,Total,atlantic,120964006.3841985,125055400.87272407,0.03382323891894529,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2059,biomass,Total,atlantic,120964006.79632008,125055421.10107403,0.03382340262292313,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2060,biomass,Total,atlantic,120964007.04768746,125055439.01442029,0.03382354856283713,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2061,biomass,Total,atlantic,120964007.19004346,125055454.83273359,0.033823678114946645,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2062,biomass,Total,atlantic,120964007.2607556,125055468.77218959,0.033823792746996595,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2063,biomass,Total,atlantic,120964007.28602616,125055481.03752539,0.033823893927593704,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2064,biomass,Total,atlantic,120964007.28373705,125055491.81806335,0.033823983069023025,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2065,biomass,Total,atlantic,120964007.26576926,125055501.28607723,0.03382406149391676,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2066,biomass,Total,atlantic,120964007.23979439,125055509.59660098,0.03382413041836283,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2067,biomass,Total,atlantic,120964007.21060476,125055516.88808183,0.03382419094593602,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2068,biomass,Total,atlantic,120964007.18107057,125055523.28348877,0.03382424406868089,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2069,biomass,Total,atlantic,120964007.15281056,125055528.8916299,0.03382429067227111,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2070,biomass,Total,atlantic,120964007.12665075,125055533.80852804,0.033824331543459936,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2071,biomass,Total,atlantic,120964007.10293108,125055538.11876576,0.03382436737857977,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2072,biomass,Total,atlantic,120964007.08170584,125055541.89675167,0.03382439879229681,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2073,biomass,Total,atlantic,120964007.06287138,125055545.20788456,0.0338244263261434,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2074,biomass,Total,atlantic,120964007.04624546,125055548.10960734,0.03382445045655321,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2075,biomass,Total,atlantic,120964007.03161445,125055550.65235141,0.03382447160226442,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2076,biomass,Total,atlantic,120964007.01876067,125055552.8803774,0.03382449013103676,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2077,biomass,Total,atlantic,120964007.00747693,125055554.83252007,0.033824506365684785,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2078,biomass,Total,atlantic,120964006.99757327,125055556.54284643,0.033824520589461275,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2079,biomass,Total,atlantic,120964006.98887958,125055558.0412359,0.03382453305083107,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2080,biomass,Total,atlantic,120964006.9812454,125055559.35389116,0.03382454396769554,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2019,price,Total,atlantic,1378.062253167685,1378.062253167685,0,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2020,price,Total,atlantic,1350.1688054144388,1365.7433896560642,0.011535286683537874,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2021,price,Total,atlantic,1323.9660058945162,1350.3007088761462,0.019890769751174542,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2022,price,Total,atlantic,1305.1147650227294,1335.802610006929,0.02351352218719635,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2023,price,Total,atlantic,1292.9351333744091,1323.7128304288776,0.02380451753534016,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2024,price,Total,atlantic,1285.6008220785072,1314.281125507872,0.02230887141390876,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2025,price,Total,atlantic,1281.467763939307,1307.2710469129906,0.02013572537662823,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2026,price,Total,atlantic,1279.3230963957967,1302.2172681310794,0.017895535381000995,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2027,price,Total,atlantic,1278.3476752687382,1298.666961429425,0.01589496077928515,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
2028,price,Total,atlantic,1278.0190842791285,1296.2293997206716,0.014248860338274771,Absolute,Fuel subsidies,"Reference: All fuel 
subsidies (absolute $)"
