Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2020,biomass,Total,atlantic,117019114.06752095,117019114.06752095,0,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2021,biomass,Total,atlantic,118852817.92671686,119126311.03217937,0.002301107455703228,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2022,biomass,Total,atlantic,120013541.11952895,120750241.67054988,0.00613847857624007,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2023,biomass,Total,atlantic,120679173.07753086,121944397.13269007,0.010484195598078573,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2024,biomass,Total,atlantic,121021329.4346093,122792221.46448007,0.014632891888926351,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2025,biomass,Total,atlantic,121169161.78824094,123377164.18766105,0.018222478119299754,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2026,biomass,Total,atlantic,121209344.56151436,123771123.06664816,0.02113515681815833,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2027,biomass,Total,atlantic,121195761.71296719,124030536.41705853,0.02339004816690745,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2028,biomass,Total,atlantic,121159753.79139604,124197625.5209926,0.025073274206441145,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2029,biomass,Total,atlantic,121118257.087568,124302836.60367459,0.02629314186550879,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2030,biomass,Total,atlantic,121079528.12762682,124367482.04224807,0.027155324813914878,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2031,biomass,Total,atlantic,121046887.45992124,124406107.49333724,0.02775139537997823,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2032,biomass,Total,atlantic,121021039.01950186,124428417.26334491,0.028155255246932468,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2033,biomass,Total,atlantic,121001438.46549936,124440747.97554907,0.028423707632453905,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2034,biomass,Total,atlantic,120987058.63491616,124447149.41929229,0.028598850351566178,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2035,biomass,Total,atlantic,120976789.03077778,124450152.00642014,0.02871098665677672,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2036,biomass,Total,atlantic,120969622.55713436,124451297.5264929,0.028781398964141818,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2037,biomass,Total,atlantic,120964724.70637693,124451497.92824912,0.028824710925733067,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2038,biomass,Total,atlantic,120961442.21302602,124451272.82713425,0.028850768891811575,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2039,biomass,Total,atlantic,120959283.97501427,124450903.57024771,0.028866073611635137,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2040,biomass,Total,atlantic,120957892.18798843,124450531.11666971,0.028874832931555634,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2041,biomass,Total,atlantic,120957012.82240592,124450216.84175129,0.028879714684044315,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2042,biomass,Total,atlantic,120956469.54044867,124449979.35595112,0.028882372549193795,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2043,biomass,Total,atlantic,120956142.41926888,124449816.12309268,0.028883805600493806,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2044,biomass,Total,atlantic,120955951.47417432,124449715.65935801,0.028884599249584288,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2045,biomass,Total,atlantic,120955844.37269026,124449664.0441799,0.02888508355763655,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2046,biomass,Total,atlantic,120955787.54244724,124449648.10227358,0.028885435172750516,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2047,biomass,Total,atlantic,120955759.89387721,124449656.71533312,0.028885741568002603,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2048,biomass,Total,atlantic,120955748.48502205,124449681.14186421,0.0288860405611463,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2049,biomass,Total,atlantic,120955745.58746435,124449714.8576283,0.028886343953271967,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2050,biomass,Total,atlantic,120955746.73861837,124449753.20341426,0.028886651184472676,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2051,biomass,Total,atlantic,120955749.47349674,124449792.9912305,0.02888695686598483,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2052,biomass,Total,atlantic,120955752.51525077,124449832.14114034,0.02888725466322089,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2053,biomass,Total,atlantic,120955755.26954117,124449869.3770276,0.028887539081543047,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2054,biomass,Total,atlantic,120955757.51626997,124449903.98657283,0.028887806104086127,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2055,biomass,Total,atlantic,120955759.22695844,124449935.63984886,0.02888805324543523,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2056,biomass,Total,atlantic,120955760.46038756,124449964.25680009,0.02888827934372636,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2057,biomass,Total,atlantic,120955761.30579586,124449989.91322814,0.028888484266560044,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2058,biomass,Total,atlantic,120955761.85413754,124450012.7758981,0.028888668618980973,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2059,biomass,Total,atlantic,120955762.18529034,124450033.05897583,0.028888833492137996,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
2060,biomass,Total,atlantic,120955762.36387984,124450050.99567667,0.02888898026441026,Effective,Fuel subsidies,"Reference: All fuel 
subsidies (effective $)"
