Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2021,biomass,Total,atlantic,117867615.17577666,117959305.78793237,7.779118294619514e-4,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2022,biomass,Total,atlantic,118887839.16131912,119116859.18924093,0.0019263536921640325,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2023,biomass,Total,atlantic,119609745.8225099,119994387.16874482,0.0032158027223441374,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2024,biomass,Total,atlantic,120116043.11806417,120659052.45720524,0.004520706185828461,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2025,biomass,Total,atlantic,120468485.41864195,121164298.87076834,0.005775896075295969,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2026,biomass,Total,atlantic,120712199.37505206,121551222.61383097,0.006950608497920447,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2027,biomass,Total,atlantic,120879650.43263458,121850696.10367519,0.008033160813794434,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2028,biomass,Total,atlantic,120993929.44271764,122085546.26471584,0.009022079264852703,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2029,biomass,Total,atlantic,121071320.70113727,122272477.38423315,0.009921066988778536,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2030,biomass,Total,atlantic,121123234.97473547,122423639.71312562,0.01073621207905645,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2031,biomass,Total,atlantic,121157628.5817984,122547848.97048464,0.01147447672061067,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2032,biomass,Total,atlantic,121180027.29580852,122651504.99060243,0.012142906117704815,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2033,biomass,Total,atlantic,121194256.13599512,122739269.03563476,0.012748235344634968,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2034,biomass,Total,atlantic,121202954.97629912,122814555.83251867,0.013296712580437405,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2035,biomass,Total,atlantic,121207940.50666632,122879887.40451604,0.01379403767493078,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2036,biomass,Total,atlantic,121210459.13390628,122937145.8075623,0.014245360392113425,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2037,biomass,Total,atlantic,121211363.05699012,122987752.91243598,0.014655307973153096,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
2038,biomass,Total,atlantic,121211232.5227226,123032798.03251512,0.015028025636576592,RD/TN/RL/96 Rev.2,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.2),OFOC
