Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2021,biomass,Total,atlantic,117868122.46384743,118043977.18912603,0.0014919617077343308,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2022,biomass,Total,atlantic,118889121.2934684,119324960.9029885,0.0036659334746385833,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2023,biomass,Total,atlantic,119611769.6848635,120337886.76821403,0.006070615669876065,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2024,biomass,Total,atlantic,120118603.3131071,121135364.94936997,0.0084646475085339,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2025,biomass,Total,atlantic,120471333.6819238,121763821.86499278,0.010728595289577241,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2026,biomass,Total,atlantic,120715123.73468985,122261715.17254381,0.012811911134292437,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2027,biomass,Total,atlantic,120882506.5684944,122659637.94555123,0.014701311442858604,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2028,biomass,Total,atlantic,120996641.30914561,122981276.42390385,0.01640239839127029,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2029,biomass,Total,atlantic,121073866.43916604,123244640.44653338,0.017929335794839386,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2030,biomass,Total,atlantic,121125628.82400253,123463267.67712092,0.019299291783368294,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2031,biomass,Total,atlantic,121159904.48338631,123647270.62602103,0.020529614588593474,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2032,biomass,Total,atlantic,121182226.41859704,123804188.30433516,0.021636521816995963,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2033,biomass,Total,atlantic,121196418.59461738,123939650.42982826,0.022634594875171568,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2034,biomass,Total,atlantic,121205115.10023037,124057881.1156695,0.023536680057438565,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2035,biomass,Total,atlantic,121210124.73967828,124162073.61583793,0.02435397936021865,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2036,biomass,Total,atlantic,121212685.68223235,124254665.57328127,0.025096217231121248,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2037,biomass,Total,atlantic,121213642.57284567,124337539.52128896,0.025771826356640735,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2038,biomass,Total,atlantic,121213569.30443315,124412168.24923731,0.02638812604198414,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2039,biomass,Total,atlantic,121212853.89526789,124479720.00305355,0.02695148247733151,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2040,biomass,Total,atlantic,121211757.0384283,124541134.66704977,0.027467447960233194,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2041,biomass,Total,atlantic,121210452.41377613,124597179.0860781,0.02794087972496554,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2042,biomass,Total,atlantic,121209054.39673708,124648487.43012746,0.028376040474109677,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2043,biomass,Total,atlantic,121207637.0743531,124695590.83707494,0.028776683111000678,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2044,biomass,Total,atlantic,121206247.27541804,124738939.35803461,0.029146122102016735,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2045,biomass,Total,atlantic,121204913.48433658,124778918.35886803,0.029487293640066164,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2046,biomass,Total,atlantic,121203651.92785661,124815860.90994166,0.029802806471830773,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2047,biomass,Total,atlantic,121202470.72229588,124850057.25487624,0.030094984952393107,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2048,biomass,Total,atlantic,121201372.69168387,124881762.13651091,0.030365905625420048,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2049,biomass,Total,atlantic,121200357.2761738,124911200.53726798,0.030617428401126336,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2050,biomass,Total,atlantic,121199421.81855571,124938572.23473382,0.030851223216030565,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2051,biomass,Total,atlantic,121198562.42626145,124964055.46249184,0.03106879290355736,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2052,biomass,Total,atlantic,121197774.54412007,124987809.88755539,0.031271492877582636,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2053,biomass,Total,atlantic,121197053.33047,125009979.05965084,0.03146054812722283,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2054,biomass,Total,atlantic,121196393.89997661,125030692.44742356,0.03163706793629023,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2055,biomass,Total,atlantic,121195791.47644505,125050067.14769682,0.031802058671326634,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2056,biomass,Total,atlantic,121195241.48517527,125068209.33292943,0.0319564349251114,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2057,biomass,Total,atlantic,121194739.60499647,125085215.48668796,0.032101029255655035,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2058,biomass,Total,atlantic,121194281.7936785,125101173.4656545,0.03223660072202997,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2059,biomass,Total,atlantic,121193864.29601419,125116163.41829732,0.03236384238646747,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2060,biomass,Total,atlantic,121193483.64085801,125130258.58402765,0.032483387925672534,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2061,biomass,Total,atlantic,121193136.63135262,125143525.99188758,0.03259581747233203,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2062,biomass,Total,atlantic,121192820.33117507,125156027.07415026,0.0327016627894723,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2063,biomass,Total,atlantic,121192532.04868071,125167818.20737664,0.032801411865040826,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2064,biomass,Total,atlantic,121192269.3201766,125178951.19125105,0.03289551300126314,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2065,biomass,Total,atlantic,121192029.8931175,125189473.67376083,0.03298437846258357,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2066,biomass,Total,atlantic,121191811.70972121,125199429.52988113,0.03306838773694529,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2067,biomass,Total,atlantic,121191612.89130276,125208859.19979265,0.03314789045751023,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2068,biomass,Total,atlantic,121191431.72349384,125217799.99173902,0.033223209025466396,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2069,biomass,Total,atlantic,121191266.64242676,125226286.35387284,0.0332946409690671,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2070,biomass,Total,atlantic,121191116.22190583,125234350.11881435,0.033362461069383974,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2071,biomass,Total,atlantic,121190979.16155314,125242020.72412536,0.03342692327926476,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2072,biomass,Total,atlantic,121190854.27589327,125249325.41146423,0.033488262458582656,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2073,biomass,Total,atlantic,121190740.48432839,125256289.40681982,0.03354669594594285,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2074,biomass,Total,atlantic,121190636.80194952,125262936.0839104,0.03360242498449667,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2075,biomass,Total,atlantic,121190542.3311258,125269287.11256808,0.03365563601735551,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2076,biomass,Total,atlantic,121190456.2538144,125275362.59370229,0.03370650186622527,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2077,biomass,Total,atlantic,121190377.82453549,125281181.18224132,0.033755182805260894,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2078,biomass,Total,atlantic,121190306.3639577,125286760.1992831,0.033801827540751936,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2079,biomass,Total,atlantic,121190241.2530448,125292115.73454128,0.033846574106010593,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2080,biomass,Total,atlantic,121190181.92771551,125297262.74004772,0.0338895506797894,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2019,price,Total,atlantic,1350.1688088039184,1350.1688088039184,0,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2020,price,Total,atlantic,1329.7742774791855,1337.868416783554,0.006086852063127892,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2021,price,Total,atlantic,1315.0540156592142,1327.238615481004,0.009265474784077106,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2022,price,Total,atlantic,1304.5327332002148,1318.6079604523547,0.010789478020694269,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2023,price,Total,atlantic,1297.0708133507035,1311.8598371932621,0.011401863098248585,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2024,price,Total,atlantic,1291.8119699283754,1306.714981337383,0.011536517508685031,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
