Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2021,biomass,Total,atlantic,117873629.15490076,117874342.60598986,6.052677721167685e-6,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2022,biomass,Total,atlantic,118904437.54777989,118906332.0710701,1.5933158839893073e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2023,biomass,Total,atlantic,119638257.1453481,119641621.31432632,2.811950841215571e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2024,biomass,Total,atlantic,120155068.29732296,120160066.51872918,4.159809050961814e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2025,biomass,Total,atlantic,120515044.33565402,120521758.5757994,5.571287951971385e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2026,biomass,Total,atlantic,120762781.2054887,120771241.06537221,7.005353635506139e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2027,biomass,Total,atlantic,120930938.38952768,120941141.91125098,8.437478331999629e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2028,biomass,Total,atlantic,121043197.93904692,121055125.49997677,9.853970427860013e-5,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2029,biomass,Total,atlantic,121116583.38149694,121130206.65622383,1.1248067231211804e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2030,biomass,Total,atlantic,121163232.99387844,121178520.51332313,1.2617292446679372e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2031,biomass,Total,atlantic,121191732.58313422,121208653.012397,1.3961702586585395e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2032,biomass,Total,atlantic,121208104.51699385,121226628.44560236,1.5282747537653137e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2033,biomass,Total,atlantic,121216534.49323139,121236635.28422232,1.6582548804062853e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2034,biomass,Total,atlantic,121219901.3527391,121241555.4181127,1.7863457346486476e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2035,biomass,Total,atlantic,121220160.6768772,121243347.4211668,1.9127795376722094e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2036,biomass,Total,atlantic,121218620.7919693,121243322.37915075,2.0377716740269504e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2037,biomass,Total,atlantic,121216140.16327174,121242341.20385751,2.1615141804119306e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2038,biomass,Total,atlantic,121213267.7019072,121240954.91838929,2.284173754821753e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2039,biomass,Total,atlantic,121210341.84304097,121239503.7467137,2.4058923710063961e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2040,biomass,Total,atlantic,121207560.00551847,121238186.60175087,2.5267892721382183e-4,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
