"","Id","Name","Category","Year","Biomass","Catches","Fishing Mortality","Revenue"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,0.124898684614206,0.0349365978802242,-0.0826450698910286,0.00431994071370951
"2","Ambitious Reform","All subsidies","Ambitious Reform",2080,0.125588379453667,0.0348077373021257,-0.0831110542583321,0.00430336995435606
"3","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,0.081050418761998,0.0198284830861284,-0.0625872600765918,0.00245317041925884
"4","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2080,0.0819436364910631,0.0198501178914586,-0.0630806470028144,0.00245523997469059
"5","RD/TN/RL/104","IUU (Option B)","IUU",2050,6.34394345612685e-05,-7.24860082829822e-06,-4.50951095891807e-05,-9.10601617380764e-07
"6","RD/TN/RL/104","IUU (Option B)","IUU",2080,6.42673915743992e-05,-6.63757988069431e-06,-4.55444951551873e-05,-8.32986499805821e-07
"7","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,0.0181855395998223,0.00219140105642244,-0.0113611097625721,0.000275487377033347
"8","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2080,0.0204374901736963,0.00281086055198695,-0.0124745152645658,0.000353473988681773
"9","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,4.22738307406376e-05,-3.3031134228757e-06,-3.11206479666656e-05,-4.09721197284573e-07
"10","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2080,4.50240609511188e-05,-2.68450598920164e-06,-3.2558241578253e-05,-3.31139784130281e-07
"11","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2050,0.0181855347764931,0.00219139885069529,-0.0113611069905211,0.000275487098752219
"12","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2080,0.0204374826484814,0.00281085697175949,-0.0124745110532019,0.000353473537441637
"13","RD/TN/RL/119/Rev.1 | Relevant Authorities","Facilitator's text - Overfished [Relevant Authorities]","Overfished",2050,0.00444961566435986,-0.000868248490600139,-0.00305307799541499,-0.000110402194380357
"14","RD/TN/RL/119/Rev.1 | Relevant Authorities","Facilitator's text - Overfished [Relevant Authorities]","Overfished",2080,0.00514446147008501,-0.000774899400624678,-0.00343749925716988,-9.85673451904239e-05
"15","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2050,0.0393006314380792,0.00190769594763818,-0.0489691028110013,-8.0476343702369e-06
"16","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2080,0.0419279017501291,0.00284721854182922,-0.0504979888069158,0.000108926913699395
"17","RD/TN/RL/124","CAP - Formula","OFOC",2050,0.0716566704612924,0.0223503370468771,-0.0496431188474556,0.00280574781011676
"18","RD/TN/RL/124","CAP - Formula","OFOC",2080,0.0717339758697549,0.0223566839353151,-0.0497172573732175,0.00280665246103712
"19","RD/TN/RL/124/Rev.1","CAP - Formula (Rev. 1)","OFOC",2050,0.067967645548155,0.0211359199204748,-0.0474324631890642,0.0026567735613921
"20","RD/TN/RL/124/Rev.1","CAP - Formula (Rev. 1)","OFOC",2080,0.0680138174565357,0.0211487400923584,-0.0474856903889869,0.00265850529307063
"21","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",2050,0.0125530208923235,0.00139836548539617,-0.00827858624448608,0.000177565476864125
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",2080,0.0140532594625582,0.00157627995386814,-0.00914662706418499,0.000199961666235705
"23","RD/TN/RL/126/Rev.2 | Objective Definition","Chair's text - Consolidated text (Dec 2020) [Objective Definition]","Other & Multiple",2050,0.0447900625189048,0.00243634714335558,-0.0532085755118877,5.42531394249053e-05
"24","RD/TN/RL/126/Rev.2 | Objective Definition","Chair's text - Consolidated text (Dec 2020) [Objective Definition]","Other & Multiple",2080,0.0475387579039998,0.00332519651437718,-0.0548233078872659,0.000164631045412307
