Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2021,biomass,Total,atlantic,117873629.10458377,118214769.15871638,0.0028941168327814267,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2022,biomass,Total,atlantic,118904437.51887377,119759127.21507667,0.007188038680787154,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2023,biomass,Total,atlantic,119638257.27779822,121072325.66519508,0.011986704086360704,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2024,biomass,Total,atlantic,120155068.67846416,122169861.56714338,0.016768272124006868,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2025,biomass,Total,atlantic,120515044.8939693,123075437.5456442,0.02124541922485747,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2026,biomass,Total,atlantic,120762781.649923,123815336.20153874,0.025277279223865006,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2027,biomass,Total,atlantic,120930938.19713701,124415279.38379866,0.028812653226766547,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2028,biomass,Total,atlantic,121043196.38085935,124898820.6448111,0.031853291876233376,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2029,biomass,Total,atlantic,121116579.57263893,125286662.88932908,0.034430325983480774,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2030,biomass,Total,atlantic,121163225.95489696,125596512.41968845,0.03658937297065517,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2031,biomass,Total,atlantic,121191721.30228908,125843224.35697687,0.03838135975546974,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2032,biomass,Total,atlantic,121208088.00657366,126039769.03870623,0.03986269490424205,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2033,biomass,Total,atlantic,121216511.83589882,126196585.29749575,0.041084117882709645,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2034,biomass,Total,atlantic,121219871.73623931,126321515.80915238,0.042085872554078134,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2035,biomass,Total,atlantic,121220123.41709962,126420922.38473994,0.0429037590544696,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2036,biomass,Total,atlantic,121218575.34540884,126499940.15432233,0.043568939775644015,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2037,biomass,Total,atlantic,121216086.13051592,126562698.21715614,0.044108106913165086,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2038,biomass,Total,atlantic,121213204.82400233,126612506.7859487,0.04454384297309836,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
2039,biomass,Total,atlantic,121210269.9925802,126652013.3329294,0.04489506822055845,RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis],Other & Multiple
