Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2021,biomass,Total,atlantic,117873629.10458377,118301898.0799627,0.0036332891303359083,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2022,biomass,Total,atlantic,118904437.51887377,119972943.46622533,0.00898625795342546,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2023,biomass,Total,atlantic,119638257.27779822,121425382.59196956,0.014937741110869462,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2024,biomass,Total,atlantic,120155068.67846416,122659753.40678686,0.020845435451626718,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2025,biomass,Total,atlantic,120515044.8939693,123692020.8934798,0.026361654698843964,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2026,biomass,Total,atlantic,120762781.649923,124545044.37104239,0.03131977145147021,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2027,biomass,Total,atlantic,120930938.19713701,125243635.26493737,0.03566247919758932,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2028,biomass,Total,atlantic,121043196.38085935,125811828.58080482,0.03939611925763344,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2029,biomass,Total,atlantic,121116579.57263893,126271511.51027918,0.04256173643467706,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2030,biomass,Total,atlantic,121163225.95489696,126641864.54872935,0.04521700830144464,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2031,biomass,Total,atlantic,121191721.30228908,126939269.19084401,0.04742525171516291,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2032,biomass,Total,atlantic,121208088.00657366,127177465.77667275,0.04924900531204933,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2033,biomass,Total,atlantic,121216511.83589882,127367829.49877301,0.050746532545019596,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2034,biomass,Total,atlantic,121219871.73623931,127519686.96373688,0.05197015256050795,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2035,biomass,Total,atlantic,121220123.41709962,127640630.05090415,0.05296568303030482,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2036,biomass,Total,atlantic,121218575.34540884,127736804.96962316,0.05377253119532888,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2037,biomass,Total,atlantic,121216086.13051592,127813167.0406996,0.05442413726409601,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2038,biomass,Total,atlantic,121213204.82400233,127873698.9427799,0.054948585250661396,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2039,biomass,Total,atlantic,121210269.9925802,127921594.03026508,0.055369268941449445,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2040,biomass,Total,atlantic,121207479.17413479,127959408.1779838,0.055705547626716506,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2041,biomass,Total,atlantic,121204937.1709694,127989184.28374864,0.05597335612830288,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2042,biomass,Total,atlantic,121202689.3062346,128012553.58729793,0.056185752313278395,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2043,biomass,Total,atlantic,121200744.0618768,128030817.66071256,0.05635339660413952,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2044,biomass,Total,atlantic,121199088.26989491,128045014.47817172,0.05648496458184408,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2045,biomass,Total,atlantic,121197697.12267542,128055971.48760676,0.05658749735145091,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2046,biomass,Total,atlantic,121196540.61238112,128064348.13968644,0.056666696034422315,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2047,biomass,Total,atlantic,121195587.53665192,128070669.90750927,0.05672716730531285,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2048,biomass,Total,atlantic,121194807.86859423,128075355.46338935,0.05677262677998032,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2049,biomass,Total,atlantic,121194174.04665166,128078738.36793964,0.056806066590609196,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
2050,biomass,Total,atlantic,121193661.56766857,128081769.3794685,0.05683554504996904,RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124,Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula],Other & Multiple
