Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2021,biomass,Total,atlantic,117873629.15239578,117873629.15239578,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2022,biomass,Total,atlantic,118904437.54003187,118904437.54003187,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2023,biomass,Total,atlantic,119638257.13042964,119638257.13042964,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2024,biomass,Total,atlantic,120155068.274411,120155068.274411,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2025,biomass,Total,atlantic,120515044.3049303,120515044.3049303,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2026,biomass,Total,atlantic,120762781.1678785,120762781.1678785,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2027,biomass,Total,atlantic,120930938.34640893,120930938.34640893,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2028,biomass,Total,atlantic,121043197.89199537,121043197.89199537,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2029,biomass,Total,atlantic,121116583.33209175,121116583.33209175,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2030,biomass,Total,atlantic,121163232.9435708,121163232.9435708,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2031,biomass,Total,atlantic,121191732.53317027,121191732.53317027,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2032,biomass,Total,atlantic,121208104.46838042,121208104.46838042,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2033,biomass,Total,atlantic,121216534.44673213,121216534.44673213,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2034,biomass,Total,atlantic,121219901.30889018,121219901.30889018,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2035,biomass,Total,atlantic,121220160.63601469,121220160.63601469,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2036,biomass,Total,atlantic,121218620.75426154,121218620.75426154,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2037,biomass,Total,atlantic,121216140.12875292,121216140.12875292,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2038,biomass,Total,atlantic,121213267.67050877,121213267.67050877,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2039,biomass,Total,atlantic,121210341.81462,121210341.81462,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2040,biomass,Total,atlantic,121207559.97988158,121207559.97988158,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2041,biomass,Total,atlantic,121205026.86418205,121205026.86418205,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2042,biomass,Total,atlantic,121202787.70189847,121202787.70189847,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2043,biomass,Total,atlantic,121200850.90189712,121200850.90189712,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
2044,biomass,Total,atlantic,121199203.2381713,121199203.2381713,0,RD/TN/RL/89/Rev.2,IUU (Option C),IUU
