"","Id","Name","Category","Year","Region","Biomass","Catches","Fishing Mortality","Revenue"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,"atlantic",6.343,-2.304,-8.132,-0.304
"2","RD/TN/RL/104","IUU (Option B)","IUU",2050,"atlantic",0.013,-0.004,-0.016,0
"3","RD/TN/RL/87","IUU (Option A)","IUU",2050,"atlantic",0.013,-0.004,-0.016,0
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,"atlantic",0.008,-0.002,-0.01,0
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",2050,"atlantic",0,0,0,0
"6","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,"atlantic",5.255,-1.892,-6.789,-0.249
"7","RD/TN/RL/124","CAP - Formula","OFOC",2050,"atlantic",3.524,-1.192,-4.556,-0.156
"8","RD/TN/RL/91","OFOC - ABNJ","OFOC",2050,"atlantic",3.417,-1.247,-4.51,-0.164
"9","RD/TN/RL/124/Rev.1","CAP - Formula (Rev. 1)","OFOC",2050,"atlantic",3.402,-1.147,-4.4,-0.15
"10","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",2050,"atlantic",2.963,-0.986,-3.835,-0.129
"11","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2050,"atlantic",2.41,-0.878,-3.21,-0.115
"12","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,"atlantic",2.117,-0.771,-2.828,-0.101
"13","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",2050,"atlantic",2.117,-0.771,-2.828,-0.101
"14","RD/TN/RL/96 Rev.2","OFOC - List approach (revised)","OFOC",2050,"atlantic",1.763,-0.623,-2.344,-0.081
"15","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",2050,"atlantic",1.461,-0.528,-1.961,-0.069
"16","TN/RL/GEN/199","CAP - Optional criteria","OFOC",2050,"atlantic",0.712,-0.228,-0.934,-0.03
"17","RD/TN/RL/81","CAP - De minimis","OFOC",2050,"atlantic",0.254,-0.079,-0.332,-0.01
"18","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - Consolidated text (June 2021) [Sustainability scenario]","Other & Multiple",2050,"atlantic",5.965,-2.147,-7.656,-0.283
"19","RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Formula]","Other & Multiple",2050,"atlantic",5.691,-2.015,-7.291,-0.265
"20","RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula]","Other & Multiple",2050,"atlantic",5.684,-2.015,-7.285,-0.265
"21","RD/TN/RL/126/Rev.2 | Objective Definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Tiers]","Other & Multiple",2050,"atlantic",5.504,-1.947,-7.062,-0.256
