Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2021,biomass,Total,atlantic,117870694.4307345,117982145.72170737,9.455385964351535e-4,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2022,biomass,Total,atlantic,118895853.99056834,119176417.27831821,0.002359739875976902,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2023,biomass,Total,atlantic,119622664.55946724,120095502.1103198,0.0039527421713424,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2024,biomass,Total,atlantic,120132536.95777243,120800054.4130596,0.005556508438024673,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2025,biomass,Total,atlantic,120486708.13566482,121339832.267402,0.007080649350769693,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2026,biomass,Total,atlantic,120730369.35904902,121754494.69308653,0.008482748288392874,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2027,biomass,Total,atlantic,120896367.4606351,122074961.5042935,0.009748796166619033,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2028,biomass,Total,atlantic,121008280.11044401,122324924.64004785,0.010880615181061495,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2029,biomass,Total,atlantic,121082852.27531418,122522288.41650517,0.011888026373198152,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2030,biomass,Total,atlantic,121131865.14977095,122680434.48686211,0.012784161584373087,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2031,biomass,Total,atlantic,121163536.7305347,122809277.1852045,0.01358280303693922,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2032,biomass,Total,atlantic,121183553.08290078,122916113.10217312,0.014296989774570406,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2033,biomass,Total,atlantic,121195817.21003678,123006287.15492287,0.014938386378042056,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2034,biomass,Total,atlantic,121202986.69480935,123083704.18523669,0.015517088660224318,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
2035,biomass,Total,atlantic,121206855.95903584,123151215.49838865,0.016041663022840373,TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries,Chair's text - June 2021 [Full exemption + S&DT for all developing countries],Other & Multiple
