Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2021,biomass,Total,atlantic,117869174.49729772,117999340.14186388,0.0011043230354442469,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2022,biomass,Total,atlantic,118891705.1827186,119217045.4562934,0.0027364421519129566,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2023,biomass,Total,atlantic,119615646.144819,120161031.30541998,0.00455948011968832,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2024,biomass,Total,atlantic,120123118.24853018,120890177.15052041,0.006385605978053442,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2025,biomass,Total,atlantic,120475744.09061116,121453768.33021255,0.00811801783822813,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2026,biomass,Total,atlantic,120718809.8408854,121891444.46574038,0.009713768934605837,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2027,biomass,Total,atlantic,120885063.45135915,122234183.0724695,0.011160350026644927,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2028,biomass,Total,atlantic,120997885.77160394,122505681.21505079,0.012461337103798369,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2029,biomass,Total,atlantic,121073798.39380345,122723780.27006334,0.01362790214025646,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
2030,biomass,Total,atlantic,121124376.49091442,122901757.26130265,0.0146740137855038,WT/MIN(22)/W/22,Final Fisheries Subsidies Agreement,Other & Multiple
