Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2021,biomass,Total,atlantic,117856467.73302126,117974379.66427623,0.0010004706022759178,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2022,biomass,Total,atlantic,118855057.33803695,119138036.41965818,0.002380875395284239,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2023,biomass,Total,atlantic,119549154.71656254,120007886.65071477,0.003837182581841184,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2024,biomass,Total,atlantic,120025805.59788962,120653782.47058967,0.005232015478437181,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2025,biomass,Total,atlantic,120349904.44431782,121133740.09411137,0.006512972763980938,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2026,biomass,Total,atlantic,120568397.69959831,121492974.45677784,0.00766848340709606,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2027,biomass,Total,atlantic,120714527.77894178,121765315.70233354,0.008704734572760062,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2028,biomass,Total,atlantic,120811469.37361613,121975393.43591644,0.00963421824380606,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2029,biomass,Total,atlantic,120875193.1572081,122140811.5506948,0.010470456016898794,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2030,biomass,Total,atlantic,120916609.85623443,122274002.2742884,0.0112258557336983,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2031,biomass,Total,atlantic,120943123.62502454,122383684.37549978,0.011911059573271795,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2032,biomass,Total,atlantic,120959732.49246886,122475955.4533136,0.012534939765505373,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2033,biomass,Total,atlantic,120969795.69301939,122555084.41812126,0.013104830970573864,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2034,biomass,Total,atlantic,120975562.61849716,122624074.04327804,0.01362681345801667,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
2035,biomass,Total,atlantic,120978534.36823294,122685054.26171291,0.014105972620611269,RD/TN/RL/96,ACP - Overfishing and overcapacity (RD/TN/RL/96),OFOC
