Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2021,biomass,Total,atlantic,117865930.1118792,118237871.65607934,0.003155632368463793,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2022,biomass,Total,atlantic,118880144.32200773,119796739.81491986,0.007710248823633397,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2023,biomass,Total,atlantic,119590408.41571634,121101126.80805606,0.012632437771164812,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2024,biomass,Total,atlantic,120079652.36662158,122162739.9190679,0.0173475481598359,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2025,biomass,Total,atlantic,120410877.75245254,123007839.32334274,0.02156749970903113,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2026,biomass,Total,atlantic,120630895.30557342,123668344.02101064,0.025179691386215564,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2027,biomass,Total,atlantic,120773847.73933369,124176546.38100854,0.028174134594261616,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2028,biomass,Total,atlantic,120864238.12634191,124562233.90210553,0.030596277551495618,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2029,biomass,Total,atlantic,120919391.64938578,124851361.67256097,0.03251728254287134,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2030,biomass,Total,atlantic,120951382.89916055,125065673.25500204,0.034016067094260916,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2031,biomass,Total,atlantic,120968504.30918011,125222860.06926516,0.03516911930407483,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2032,biomass,Total,atlantic,120976361.88391356,125336991.7510321,0.03604530504316958,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2033,biomass,Total,atlantic,120978679.07409057,125419051.47777176,0.03670376001511627,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2034,biomass,Total,atlantic,120977878.00104253,125477479.64616068,0.03719359042716365,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2035,biomass,Total,atlantic,120975494.16784057,125518674.70950541,0.037554552456398,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2036,biomass,Total,atlantic,120972468.62966588,125547428.3659493,0.03781818944514381,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2037,biomass,Total,atlantic,120969351.2213825,125567289.07014595,0.03800911389818813,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2038,biomass,Total,atlantic,120966440.03313777,125580857.04282348,0.03814625782507634,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2039,biomass,Total,atlantic,120963875.73474649,125590018.40245661,0.03824400168736724,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2040,biomass,Total,atlantic,120961704.3042505,125596127.65128729,0.038313145252814894,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2041,biomass,Total,atlantic,120959917.92200547,125600147.75810003,0.038361714490303823,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2042,biomass,Total,atlantic,120958480.97985429,125602756.27385086,0.03839561522577387,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2043,biomass,Total,atlantic,120957346.09711383,125604424.76508915,0.038419152022765864,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2044,biomass,Total,atlantic,120956463.54618217,125605477.6246652,0.03843543323096577,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2045,biomass,Total,atlantic,120955786.42498048,125606135.1635069,0.03844668267615845,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2046,biomass,Total,atlantic,120955273.15906411,125606544.86827524,0.0384544764997091,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2047,biomass,Total,atlantic,120954888.38813385,125606803.84951375,0.03845992107778483,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2048,biomass,Total,atlantic,120954602.92637166,125606974.80080694,0.03846378527047292,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2049,biomass,Total,atlantic,120954393.2366235,125607097.22647761,0.038466597742770794,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2050,biomass,Total,atlantic,120954240.69069134,125607195.25355263,0.03846871789109074,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2051,biomass,Total,atlantic,120954130.77708817,125607283.00240716,0.03847038704196472,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2052,biomass,Total,atlantic,120954052.34581333,125607368.23034929,0.038471765056964806,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2053,biomass,Total,atlantic,120953996.9344446,125607454.76650861,0.038472956247870935,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2054,biomass,Total,atlantic,120953958.19230402,125607544.1105034,0.038474027536996185,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2055,biomass,Total,atlantic,120953931.40353267,125607636.4598411,0.038475021045678175,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2056,biomass,Total,atlantic,120953913.10142815,125607731.35256246,0.038475962718393084,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2057,biomass,Total,atlantic,120953900.76254046,125607828.0549691,0.03847686815463142,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2058,biomass,Total,atlantic,120953892.56792621,125607925.78374052,0.038477746495018006,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2059,biomass,Total,atlantic,120953887.21941078,125608023.82305169,0.03847860296708194,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2060,biomass,Total,atlantic,120953883.79993969,125608121.57720368,0.03847944051934862,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2061,biomass,Total,atlantic,120953881.66864486,125608218.58536352,0.03848026084412317,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2062,biomass,Total,atlantic,120953880.38283303,125608314.5154961,0.03848106499709847,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2063,biomass,Total,atlantic,120953879.64057735,125608409.14815775,0.03848185375625527,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2064,biomass,Total,atlantic,120953879.23888859,125608502.35656956,0.038482627816243134,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2065,biomass,Total,atlantic,120953879.04353744,125608594.08662468,0.038483387882184215,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
2066,biomass,Total,atlantic,120953878.9674992,125608684.33873041,0.03848413470461728,RD/TN/RL/124,Brazil - Formula (RD/TN/RL/124),OFOC
