Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2021,biomass,Total,atlantic,117865942.3817247,117867360.89046182,1.2034933149077286e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2022,biomass,Total,atlantic,118880181.1536319,118883491.30510649,2.7844434980438638e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2023,biomass,Total,atlantic,119590477.21531484,119595650.99798107,4.3262497037461475e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2024,biomass,Total,atlantic,120079754.8592262,120086532.9432431,5.6446517773544974e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2025,biomass,Total,atlantic,120411011.08461738,120419057.42245881,6.682393718778593e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2026,biomass,Total,atlantic,120631053.72701946,120640037.27387916,7.447126243318502e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2027,biomass,Total,atlantic,120774024.18787491,120783656.69800054,7.975647239043649e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2028,biomass,Total,atlantic,120864425.44300804,120874474.24435768,8.314110055798236e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2029,biomass,Total,atlantic,120919583.37282382,120929870.92661381,8.507764832656747e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2030,biomass,Total,atlantic,120951573.69319233,120961970.99073103,8.59624825144621e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2031,biomass,Total,atlantic,120968690.11381188,120979107.91306904,8.611979882858761e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2032,biomass,Total,atlantic,120976539.88101819,120986919.90313956,8.580194252190308e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2033,biomass,Total,atlantic,120978847.54436448,120989154.63301536,8.519744451278975e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2034,biomass,Total,atlantic,120978036.12971032,120988251.74214073,8.444187686643892e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2035,biomass,Total,atlantic,120975641.83841485,120985758.89890349,8.36289052481693e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2036,biomass,Total,atlantic,120972606.23010546,120982625.21333486,8.28202643691195e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2037,biomass,Total,atlantic,120969479.47575197,120979405.52428252,8.20541559206962e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2038,biomass,Total,atlantic,120966559.86404698,120976400.73445329,8.13519903134782e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
2039,biomass,Total,atlantic,120963988.15681241,120973752.80598372,8.072360476945601e-5,RD/TN/RL/104,EU - IUU (RD/TN/RL/104),IUU
