Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2021,biomass,Total,atlantic,117864801.73572132,117977960.50101504,9.600725884852723e-4,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2022,biomass,Total,atlantic,118876875.40358755,119154539.25633304,0.0023357263706908363,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2023,biomass,Total,atlantic,119584533.5811327,120040023.43300435,0.0038089361410823678,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2024,biomass,Total,atlantic,120071261.97047576,120696579.67157461,0.005207888139400112,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2025,biomass,Total,atlantic,120400456.81826556,121177276.53242728,0.006451966501541339,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2026,biomass,Total,atlantic,120619131.196009,121525556.54940897,0.007514772693288712,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2027,biomass,Total,atlantic,120761469.80499217,121775861.88584273,0.008399964678209162,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2028,biomass,Total,atlantic,120851908.81552422,121954807.30650118,0.009126032859443632,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2029,biomass,Total,atlantic,120907646.72569406,122082523.2087784,0.009717139609455843,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2030,biomass,Total,atlantic,120940609.81166428,122173955.46909726,0.010197944754484127,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2031,biomass,Total,atlantic,120958946.20598046,122240017.30304435,0.01059095781871606,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2032,biomass,Total,atlantic,120968136.40467547,122288554.8672967,0.010915423696402355,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2033,biomass,Total,atlantic,120971803.74946225,122325125.87070575,0.011187087232709982,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2034,biomass,Total,atlantic,120972296.75852364,122353609.2920548,0.011418420337082942,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2035,biomass,Total,atlantic,120971101.6531302,122376671.81358184,0.011619057289251906,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2036,biomass,Total,atlantic,120969130.68939054,122396117.7202004,0.0117962906956313,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2037,biomass,Total,atlantic,120966921.00212267,122413146.91113354,0.011955548649415443,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2038,biomass,Total,atlantic,120964769.8357859,122428542.19415787,0.012100815471803052,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2039,biomass,Total,atlantic,120962825.13439018,122442803.23506764,0.01223498292994727,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2040,biomass,Total,atlantic,120961145.20295063,122456240.95958997,0.012360132289842741,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2041,biomass,Total,atlantic,120959737.22355916,122469043.09275143,0.012477754200166261,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2042,biomass,Total,atlantic,120958581.51972404,122481318.94212708,0.01258891600142263,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2043,biomass,Total,atlantic,120957646.3671251,122493129.46774036,0.012694386396663466,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2044,biomass,Total,atlantic,120956896.64820568,122504507.07262856,0.012794726611777971,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2045,biomass,Total,atlantic,120956298.58607978,122515468.32025848,0.012890355875672799,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2046,biomass,Total,atlantic,120955822.0506796,122526021.86455877,0.012981597638361507,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2047,biomass,Total,atlantic,120955441.41717362,122536173.19927202,0.013068711614605877,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
2048,biomass,Total,atlantic,120955135.60699587,122545927.33963653,0.013151915581405538,RD/TN/RL/119,Facilitator's text - Overfished (RD/TN/RL/119),Overfished
