Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2021,biomass,Total,atlantic,117865010.71426663,118054651.93527256,0.0016089696158062363,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2022,biomass,Total,atlantic,118877542.8649038,119345565.0712994,0.003937011105011537,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2023,biomass,Total,atlantic,119585859.00855902,120358306.69883351,0.006459356454672506,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2024,biomass,Total,atlantic,120073359.69744146,121140390.96808754,0.00888649466738305,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2025,biomass,Total,atlantic,120403354.37024578,121737033.8098046,0.011076763156096915,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2026,biomass,Total,atlantic,120622784.4622283,122188199.77837309,0.012977774664412484,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2027,biomass,Total,atlantic,120765784.17766733,122527503.15869474,0.014587898327523104,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2028,biomass,Total,atlantic,120856760.0704315,122782209.79748271,0.0159316675867293,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2029,biomass,Total,atlantic,120912898.61843812,122973822.70204738,0.017044700004363148,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2030,biomass,Total,atlantic,120946127.34938489,123118918.32274951,0.01796494870057261,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2031,biomass,Total,atlantic,120964604.66300213,123230033.9239744,0.01872803426492873,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2032,biomass,Total,atlantic,120973826.68574063,123316497.4262367,0.01936510404504054,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2033,biomass,Total,atlantic,120977434.8923653,123385149.43308997,0.019902178806046184,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2034,biomass,Total,atlantic,120977796.36343357,123440942.17667541,0.020360313109376024,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2035,biomass,Total,atlantic,120976414.92697537,123487419.4676756,0.020756149388423663,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2036,biomass,Total,atlantic,120974218.65947288,123527091.12448987,0.021102615857375395,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2037,biomass,Total,atlantic,120971758.31677932,123561718.76753323,0.021409628881906343,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2038,biomass,Total,atlantic,120969342.44815212,123592529.93589415,0.021684729656741987,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2039,biomass,Total,atlantic,120967128.06492504,123620375.87921229,0.021933626570544054,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2040,biomass,Total,atlantic,120965180.4984598,123645846.09561379,0.022160638177926937,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
2041,biomass,Total,atlantic,120963512.17309338,123669350.28985032,0.022369043921980476,RD/TN/RL/125,LDC - Full text (RD/TN/RL/125),Other
