Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2021,biomass,Total,atlantic,117865930.1118792,118159817.81810306,0.002493406754139216,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2022,biomass,Total,atlantic,118880144.32200773,119605346.23956202,0.006100277903347362,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2023,biomass,Total,atlantic,119590408.41571634,120786756.40910019,0.010003711913292813,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2024,biomass,Total,atlantic,120079652.36662158,121730318.3328734,0.013746425257895352,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2025,biomass,Total,atlantic,120410877.75245254,122469708.25796589,0.01709837635887029,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2026,biomass,Total,atlantic,120630895.30557342,123039790.61123455,0.019969140571816934,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2027,biomass,Total,atlantic,120773847.73933369,123473151.32351804,0.022350066961601307,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2028,biomass,Total,atlantic,120864238.12634191,123798428.0397782,0.024276741895887546,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2029,biomass,Total,atlantic,120919391.64938578,124039756.07537396,0.025805326866313528,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2030,biomass,Total,atlantic,120951382.89916055,124216859.83187258,0.02699826041207419,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2031,biomass,Total,atlantic,120968504.30918011,124345478.67337072,0.027916145475019607,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2032,biomass,Total,atlantic,120976361.88391356,124437931.75766447,0.028613605334507925,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2033,biomass,Total,atlantic,120978679.07409057,124503706.35500458,0.02913759108541091,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2034,biomass,Total,atlantic,120977878.00104253,124550007.18206003,0.02952712710820337,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2035,biomass,Total,atlantic,120975494.16784057,124582237.73974484,0.029813836237778047,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2036,biomass,Total,atlantic,120972468.62966588,124604404.65298933,0.030022831347204505,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2037,biomass,Total,atlantic,120969351.2213825,124619447.14976238,0.030173724927233376,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2038,biomass,Total,atlantic,120966440.03313777,124629499.35047348,0.030281616259288484,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2039,biomass,Total,atlantic,120963875.73474649,124636095.19225211,0.030357984441224343,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2040,biomass,Total,atlantic,120961704.3042505,124640326.04421136,0.030411457585850173,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2041,biomass,Total,atlantic,120959917.92200547,124642960.3012704,0.030448453029207026,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2042,biomass,Total,atlantic,120958480.97985429,124644533.03504482,0.030473696638141874,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2043,biomass,Total,atlantic,120957346.09711383,124645412.45428225,0.030490635551869323,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2044,biomass,Total,atlantic,120956463.54618217,124645848.6587586,0.030501760752684272,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2045,biomass,Total,atlantic,120955786.42498048,124646009.0427469,0.030508855564799167,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2046,biomass,Total,atlantic,120955273.15906411,124646003.74693675,0.03051318467958885,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2047,biomass,Total,atlantic,120954888.38813385,124645903.77115129,0.03051563630213344,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2048,biomass,Total,atlantic,120954602.92637166,124645753.72950235,0.030516827915822182,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2049,biomass,Total,atlantic,120954393.2366235,124645580.73354957,0.03051718418945715,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2050,biomass,Total,atlantic,120954240.69069134,124645400.50505659,0.030516993809290436,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2051,biomass,Total,atlantic,120954130.77708817,124645221.52680227,0.030516450542037166,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2052,biomass,Total,atlantic,120954052.34581333,124645047.818847,0.030515682620379982,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2053,biomass,Total,atlantic,120953996.9344446,124644880.7628097,0.03051477356606492,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2054,biomass,Total,atlantic,120953958.19230402,124644720.27507165,0.03051377679513153,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2055,biomass,Total,atlantic,120953931.40353267,124644565.54096965,0.030512725751130027,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2056,biomass,Total,atlantic,120953913.10142815,124644514.05924964,0.030512456051973006,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2057,biomass,Total,atlantic,120953900.76254046,124644544.4286954,0.030512812260602446,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2058,biomass,Total,atlantic,120953892.56792621,124644616.64187491,0.03051347910838034,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2059,biomass,Total,atlantic,120953887.21941078,124644706.03311937,0.030514263729394905,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
2060,biomass,Total,atlantic,120953883.79993969,124644798.06449157,0.030515053742769676,TN/RL/GEN/197/Rev.2,US and others -  Cap/Tier (TN/RL/GEN/197/Rev.2),OFOC
