Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,108357375.44191387,108357375.44191387,0,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2020,biomass,Total,atlantic,105020458.62454239,105020458.62454239,0,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2021,biomass,Total,atlantic,103852596.00701036,104758210.17187724,0.008720188032716562,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2022,biomass,Total,atlantic,104246166.8470668,106448181.52229223,0.021123219604379923,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2023,biomass,Total,atlantic,105365306.33334827,108849773.8829071,0.03307034991702937,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2024,biomass,Total,atlantic,106656520.47262505,111234708.2557616,0.04292459347866693,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2025,biomass,Total,atlantic,107837332.34767383,113278664.94708024,0.05045870925166466,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2026,biomass,Total,atlantic,108799536.53865829,114891013.68232772,0.055988079889522535,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2027,biomass,Total,atlantic,109529164.97669308,116096262.06461689,0.05995751989272661,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2028,biomass,Total,atlantic,110055173.25955682,116964491.76530546,0.06278049728251792,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2029,biomass,Total,atlantic,110420377.59117168,117574513.94436236,0.0647900008065419,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2030,biomass,Total,atlantic,110666857.47430633,117996834.7638333,0.06623462034447648,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2031,biomass,Total,atlantic,110829901.45373535,118287761.52742292,0.0672910466928527,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2032,biomass,Total,atlantic,110936541.62255122,118489169.2423939,0.06808061175676111,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2033,biomass,Total,atlantic,111006246.41339555,118630677.69433792,0.06868470493586833,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2034,biomass,Total,atlantic,111052397.38306367,118732474.48249364,0.06915723820835978,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2035,biomass,Total,atlantic,111083850.79531533,118807944.08538471,0.06953389925509433,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2036,biomass,Total,atlantic,111106282.87047076,118865791.1543301,0.06983860933324071,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2037,biomass,Total,atlantic,111123231.56688115,118911616.18975048,0.07008781613934413,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2038,biomass,Total,atlantic,111136849.29468687,118949018.12567373,0.0702932364968559,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2039,biomass,Total,atlantic,111148419.47314654,118980332.15301022,0.07046355420065929,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2040,biomass,Total,atlantic,111158696.48083612,119007106.05220984,0.0706054480652064,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2041,biomass,Total,atlantic,111168121.3545933,119030398.78225142,0.07072420880964408,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2042,biomass,Total,atlantic,111176954.12111449,119050963.26897356,0.07082411287577856,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2043,biomass,Total,atlantic,111185352.39730075,119069356.40593329,0.07090865692866159,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2044,biomass,Total,atlantic,111193416.60468248,119086004.71676356,0.07098071408436887,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2045,biomass,Total,atlantic,111201215.16028814,119101243.74195856,0.0710426461642809,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2046,biomass,Total,atlantic,111208798.082616,119115342.20717594,0.07109639040147021,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2047,biomass,Total,atlantic,111216204.14668171,119128517.51379506,0.07114353009816714,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2048,biomass,Total,atlantic,111223464.59540167,119140946.29554394,0.07118535399831087,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2049,biomass,Total,atlantic,111230605.09819433,119152772.11763906,0.07122290679306337,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2050,biomass,Total,atlantic,111237646.8638915,119164111.43826172,0.0712570321095421,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2051,biomass,Total,atlantic,111244607.36733234,119175058.42510758,0.07128840889867773,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2052,biomass,Total,atlantic,111251500.90516941,119185688.9419062,0.07131758198480284,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2053,biomass,Total,atlantic,111258339.07127024,119196063.8803733,0.07134498748914705,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2054,biomass,Total,atlantic,111265131.182924,119206231.9466634,0.07137097381104893,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2055,biomass,Total,atlantic,111271884.66453159,119216231.98115087,0.07139581881416243,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2056,biomass,Total,atlantic,111278605.3877526,119226094.87652902,0.0714197438140354,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2057,biomass,Total,atlantic,111285297.96660604,119235845.15186988,0.07144292490145109,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2058,biomass,Total,atlantic,111291966.00794052,119245502.2349182,0.07146550206876764,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2059,biomass,Total,atlantic,111298612.31982677,119255081.4997603,0.071487586539443,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2060,biomass,Total,atlantic,111305239.08197087,119264595.10167207,0.07150926663784012,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2061,biomass,Total,atlantic,111311847.98305422,119274052.64550489,0.0715306124794803,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2062,biomass,Total,atlantic,111318440.33009261,119283461.71864808,0.07155167971215538,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2063,biomass,Total,atlantic,111325017.13466464,119292828.31463313,0.07157251249582297,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
2064,biomass,Total,atlantic,111331579.18037076,119302157.16896567,0.07159314587356741,RD/TN/RL/103,Morocco - Industrial fishing (RD/TN/RL/103),OFOC
