Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name
2019,biomass,Total,atlantic,112396018.70535898,112396018.70535898,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2020,biomass,Total,atlantic,112952684.55656877,112952684.55656877,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2021,biomass,Total,atlantic,113690088.61685425,113690088.61685425,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2022,biomass,Total,atlantic,114489239.59537485,114489239.59537485,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2023,biomass,Total,atlantic,115229929.58591148,115229929.58591148,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2024,biomass,Total,atlantic,115849458.80189174,115849458.80189174,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2025,biomass,Total,atlantic,116332127.58343893,116332127.58343893,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2026,biomass,Total,atlantic,116688907.38714567,116688907.38714567,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2027,biomass,Total,atlantic,116941938.73053202,116941938.73053202,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2028,biomass,Total,atlantic,117115340.68430059,117115340.68430059,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2029,biomass,Total,atlantic,117230709.11815837,117230709.11815837,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2030,biomass,Total,atlantic,117305482.78105044,117305482.78105044,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2031,biomass,Total,atlantic,117352832.89089884,117352832.89089884,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2032,biomass,Total,atlantic,117382232.50316,117382232.50316,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
2033,biomass,Total,atlantic,117400233.42521614,117400233.42521614,0,RD/TN/RL/81,Philippines - De minimis (RD/TN/RL/81)
