Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,110317128.9215745,110317128.9215745,0,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2020,biomass,Total,atlantic,108875724.3488453,108875724.3488453,0,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2021,biomass,Total,atlantic,108624844.65856859,108701601.64171687,7.066245607949142e-4,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2022,biomass,Total,atlantic,109196852.55358429,109396388.66319686,0.001827306419062347,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2023,biomass,Total,atlantic,110107672.98716405,110441418.81760016,0.003031086039526213,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2024,biomass,Total,atlantic,111044642.19222322,111503650.1475609,0.004133544368066945,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2025,biomass,Total,atlantic,111857071.66191094,112423626.85367046,0.005064992166717409,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2026,biomass,Total,atlantic,112496941.51097047,113151452.31081271,0.005818031948703351,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2027,biomass,Total,atlantic,112969753.17962699,113694224.32101278,0.0064129656035793224,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2028,biomass,Total,atlantic,113303323.33280058,114082747.95849234,0.00687909765367066,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2029,biomass,Total,atlantic,113530618.85586226,114353216.00212692,0.007245597307181258,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2030,biomass,Total,atlantic,113681626.87443027,114538512.20165241,0.0075375885337094235,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2031,biomass,Total,atlantic,113780411.55148983,114665053.3336225,0.007774991934638391,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2032,biomass,Total,atlantic,113844828.8914064,114752483.04671459,0.007972730638244224,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2033,biomass,Total,atlantic,113887393.3825239,114814609.75155653,0.008141518929301601,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2034,biomass,Total,atlantic,113916480.40312424,114860711.84396817,0.008288804547880226,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2035,biomass,Total,atlantic,113937473.17763041,114896786.55520031,0.008419647643706417,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2036,biomass,Total,atlantic,113953703.31128734,114926576.89066142,0.008537445919738791,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2037,biomass,Total,atlantic,113967156.99975273,114952344.57201608,0.008644486694227904,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2038,biomass,Total,atlantic,113978973.5014348,114975416.69060136,0.00874234219308895,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2039,biomass,Total,atlantic,113989780.1003257,114996553.5998062,0.008832138272346962,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2040,biomass,Total,atlantic,113999907.68336129,115016185.92202508,0.00891472861089099,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2041,biomass,Total,atlantic,114009523.8608401,115034560.97170427,0.008990802488705563,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2042,biomass,Total,atlantic,114018711.70406479,115051829.3595925,0.00906094833108766,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2043,biomass,Total,atlantic,114027514.09792815,115068093.75895138,0.009125689262414048,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2044,biomass,Total,atlantic,114035957.24947262,115083434.74835582,0.009185501872814304,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2045,biomass,Total,atlantic,114044062.12753786,115097923.40712318,0.00924082551888376,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2046,biomass,Total,atlantic,114051849.28747052,115111626.67747657,0.009292066692709692,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2047,biomass,Total,atlantic,114059340.32678184,115124609.06790704,0.009339601106522133,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2048,biomass,Total,atlantic,114066557.81058481,115136932.71612486,0.009383774930049863,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2049,biomass,Total,atlantic,114073524.64586407,115148656.87945345,0.00942490588352625,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2050,biomass,Total,atlantic,114080263.38151342,115159837.36648598,0.00946328447158468,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2051,biomass,Total,atlantic,114086795.6331508,115170526.11850986,0.009499175424681245,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2052,biomass,Total,atlantic,114093141.68844423,115180770.9931645,0.009532819314330677,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2053,biomass,Total,atlantic,114099320.28249392,115190615.73199452,0.009564434273567195,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2054,biomass,Total,atlantic,114105348.50822055,115200100.06849359,0.00959421775215179,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2055,biomass,Total,atlantic,114111241.82276744,115209259.93062091,0.009622348248202099,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2056,biomass,Total,atlantic,114117014.11590353,115218127.69861959,0.009648986973999433,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2057,biomass,Total,atlantic,114122677.81416129,115226732.48850094,0.009674279428822269,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2058,biomass,Total,atlantic,114128244.0020416,115235100.44061977,0.009698356863865998,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2059,biomass,Total,atlantic,114133722.54791394,115243255.00014861,0.009721337633308885,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2060,biomass,Total,atlantic,114139122.2269822,115251217.1817469,0.009743328431711011,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2061,biomass,Total,atlantic,114144450.83702047,115259005.81453179,0.009764425421808004,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2062,biomass,Total,atlantic,114149715.3047978,115266637.76594885,0.009784715258979743,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2063,biomass,Total,atlantic,114154921.78249921,115274128.14466965,0.009804276019766198,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2064,biomass,Total,atlantic,114160075.73426808,115281490.48351164,0.009823178042154504,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2065,biomass,Total,atlantic,114165182.01343626,115288736.90381165,0.009841484685262079,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2066,biomass,Total,atlantic,114170244.93121177,115295878.26285207,0.009859253015691643,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2067,biomass,Total,atlantic,114175268.31765932,115302924.28595078,0.009876534427351537,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2068,biomass,Total,atlantic,114180255.57579224,115309883.68475088,0.009893375201011051,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2069,biomass,Total,atlantic,114185209.72954285,115316764.26313324,0.009909817009318212,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2070,biomass,Total,atlantic,114190133.46630624,115323573.01204512,0.009925897372502122,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2071,biomass,Total,atlantic,114195029.17467971,115330316.1944104,0.00994165006949718,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2072,biomass,Total,atlantic,114199898.97794923,115336999.42116521,0.009957105508784583,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2073,biomass,Total,atlantic,114204744.76380941,115343627.71935198,0.009972291062844418,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2074,biomass,Total,atlantic,114209568.21074651,115350205.59310505,0.009987231369737446,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2075,biomass,Total,atlantic,114214370.8114628,115356737.07827225,0.010001948605006878,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2076,biomass,Total,atlantic,114219153.89367667,115363225.79133734,0.010016462726782728,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2077,biomass,Total,atlantic,114223918.6385938,115369674.97323814,0.010030791696698288,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2078,biomass,Total,atlantic,114228666.09731105,115376087.5286126,0.010044951678977537,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2079,biomass,Total,atlantic,114233397.20538454,115382466.06094906,0.010058957219827452,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2080,biomass,Total,atlantic,114238112.79576749,115388812.90406735,0.010072821409060424,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2081,biomass,Total,atlantic,114242813.6103002,115395130.1503131,0.010086556025691253,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2082,biomass,Total,atlantic,114247500.30991408,115401419.67580763,0.010100171669081226,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2083,biomass,Total,atlantic,114252173.48369303,115407683.16306014,0.010113677877051797,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2084,biomass,Total,atlantic,114256833.6569207,115413922.12121767,0.010127083232249893,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2085,biomass,Total,atlantic,114261481.29822633,115420137.90419838,0.01014039545792268,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2086,biomass,Total,atlantic,114266116.82593018,115426331.72692972,0.010153621504150572,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2087,biomass,Total,atlantic,114270740.61367829,115432504.6798888,0.010166767625477736,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2088,biomass,Total,atlantic,114275352.99544583,115438657.74212244,0.010179839450795392,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2089,biomass,Total,atlantic,114279954.2699798,115444791.79290542,0.010192842046241582,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2090,biomass,Total,atlantic,114284544.70474394,115450907.62217951,0.010205779971814124,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2091,biomass,Total,atlantic,114289124.53942132,115457005.93990013,0.010218657332316665,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2092,biomass,Total,atlantic,114293693.98902449,115463087.3844054,0.010231477823205276,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2093,biomass,Total,atlantic,114298253.24665684,115469152.52990918,0.010244244771838556,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2094,biomass,Total,atlantic,114302802.48596436,115475201.89321026,0.01025696117459471,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2095,biomass,Total,atlantic,114307341.86331277,115481235.93969893,0.01026962973025736,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
2096,biomass,Total,atlantic,114311871.51972005,115487255.08873522,0.010282252870056532,RD/TN/RL/96 Rev.1,ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1),OFOC
