Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,112013617.9368953,112013617.9368953,0,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2020,biomass,Total,atlantic,112203719.80025199,112203719.80025199,0,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2021,biomass,Total,atlantic,112801130.48962091,112923466.88752532,0.001084531665360104,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2022,biomass,Total,atlantic,113592704.26081233,113860493.28051794,0.0023574491112629617,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2023,biomass,Total,atlantic,114374254.54280895,114760653.3926361,0.003378372618660705,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2024,biomass,Total,atlantic,115040572.91420788,115507022.39765151,0.00405465195128583,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2025,biomass,Total,atlantic,115560802.39448504,116073332.1064833,0.004435151897341912,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2026,biomass,Total,atlantic,115943922.85712948,116477644.81652157,0.00460327670687629,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2027,biomass,Total,atlantic,116214805.40589073,116753519.80313912,0.004635505737559673,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2028,biomass,Total,atlantic,116400975.17834373,116935249.49826372,0.004589947112568432,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2029,biomass,Total,atlantic,116526604.04982074,117051725.4584538,0.004506450805075839,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2030,biomass,Total,atlantic,116610616.1990408,117124898.91853562,0.004410256426541806,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2031,biomass,Total,atlantic,116666807.56588367,117170348.07177621,0.004316056266545113,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2032,biomass,Total,atlantic,116704752.0027341,117198580.76241374,0.00423143660566689,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2033,biomass,Total,atlantic,116730860.71493234,117216400.52790368,0.004159481134616768,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2034,biomass,Total,atlantic,116749318.0473496,117228061.69994375,0.004100611983018066,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2035,biomass,Total,atlantic,116762808.15274717,117236144.07754618,0.004053824435087241,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2036,biomass,Total,atlantic,116773036.97996464,117242169.5009951,0.004017472981463583,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2037,biomass,Total,atlantic,116781087.59161758,117247013.99911663,0.003989741978841519,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2038,biomass,Total,atlantic,116787652.59048903,117251171.63056391,0.00396890450140474,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2039,biomass,Total,atlantic,116793181.6426588,117254917.13336486,0.003953445605401738,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2040,biomass,Total,atlantic,116797973.05488914,117258402.76818407,0.00394210362776197,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2041,biomass,Total,atlantic,116802229.80591258,117261714.08445841,0.00393386564031646,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2042,biomass,Total,atlantic,116806093.62631427,117264900.98653522,0.003927940280999115,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2043,biomass,Total,atlantic,116809665.80918306,117267994.47441392,0.003923722082893106,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2044,biomass,Total,atlantic,116813020.10997163,117271015.37498735,0.003920755276976397,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2045,biomass,Total,atlantic,116816210.95227507,117273978.76506937,0.003918701086626733,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2046,biomass,Total,atlantic,116819278.82954372,117276896.17274281,0.003917310120248382,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2047,biomass,Total,atlantic,116822253.9977813,117279776.68512374,0.003916400100884241,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2048,biomass,Total,atlantic,116825159.09115857,117282627.54409423,0.0039158384760144315,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2049,biomass,Total,atlantic,116828011.02874523,117285454.51306853,0.003915529163727183,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2050,biomass,Total,atlantic,116830822.4326734,117288262.1427772,0.003915402635870518,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2051,biomass,Total,atlantic,116833602.6954595,117291053.98834644,0.003915408601062685,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2052,biomass,Total,atlantic,116836358.78749995,117293832.7960266,0.003915510661871098,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2053,biomass,Total,atlantic,116839095.86838382,117296600.66465755,0.003915682442365785,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2054,biomass,Total,atlantic,116841817.74865857,117299359.1830444,0.0039159047950628875,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2055,biomass,Total,atlantic,116844527.23731881,117302109.54416376,0.003916163791869947,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2056,biomass,Total,atlantic,116847226.40214849,117304852.63789366,0.003916449280278015,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2057,biomass,Total,atlantic,116849916.76390225,117307589.12469858,0.003916753845200157,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2058,biomass,Total,atlantic,116852599.44053882,117310319.4930914,0.0039170720612466525,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2059,biomass,Total,atlantic,116855275.25396235,117313044.1037354,0.003917399952874847,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2060,biomass,Total,atlantic,116857944.80877528,117315763.22284657,0.00391773460350051,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2061,biomass,Total,atlantic,116860608.55023795,117318477.04721898,0.003918073871609086,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2062,biomass,Total,atlantic,116863266.80684426,117321185.72281088,0.003918416183962063,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2063,biomass,Total,atlantic,116865919.8215529,117323889.3584548,0.0039187603845602095,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2064,biomass,Total,atlantic,116868567.77467558,117326588.03591752,0.003919105624063203,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2065,biomass,Total,atlantic,116871210.8006407,117329281.81725407,0.003919451278679258,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2066,biomass,Total,atlantic,116873849.00026773,117331970.75016901,0.003919796890579264,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
2067,biomass,Total,atlantic,116876482.44975355,117334654.87191874,0.003920142124076658,TN/RL/GEN/202,Philippines - Disputed waters (TN/RL/GEN/202),Other
