description,affected,flag_iso3,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
IUU - RFMO Lists,FALSE,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,AGO,7402331.289,116585.86391,0,6928538.880999998,0,2336153.108,3922968.803000001,8453988.564000001,377318.47000000003,1514592.4016,352665.25659999996,0,0
IUU - RFMO Lists,FALSE,AIA,4738.188500167704,2519.034252766495,239630.07521866175,536.6565195372601,4576.890253235433,2742.0258705169335,7602.351633052326,0,3188.029710049094,61009.729314059405,2548.251393197553,17660.60841384319,0
IUU - RFMO Lists,FALSE,ALB,368581.24153,85466.225117,959816.4868,0,114728.96939,79033.49476,103534.02742,0,685.47,4131428.9929999993,0,0,0
IUU - RFMO Lists,FALSE,ARE,20453515.302000005,5085942.867,1638767.4609999997,3826540.782,0,0,0,0,1029802.2400000001,0,0,0,0
IUU - RFMO Lists,FALSE,ARG,23293779.61,13602676.993,10295986.557,16076972.609999998,30268557.130000003,0,36117673.98,55978883.69,5988.41,84587940.07599999,10756897.039999997,11715210.05,0
IUU - RFMO Lists,FALSE,ATF,20846.500698369597,6429.188576951735,82201.84332210923,3862.711568364707,7110.464529863137,40643.206578732934,10567.78999742301,3370.980448937636,18890.911386818207,97158.1459934832,22495.37350941835,792.8924473361124,0
IUU - RFMO Lists,FALSE,AUS,83208695.21,44237011.92600001,145962057.16,10691323.331,0,0,279313.98439,0,2845893.93,11191691.627,0,9402956.25,0
IUU - RFMO Lists,FALSE,BEL,3296561.546,496189.72409999993,1757024.7270000002,61226.16941000001,911650.023,645794.6053,338203.845,18834978.99,779750.29,5142150.503,1305911.342,1422252.6830000002,0
IUU - RFMO Lists,FALSE,BES,51461.34620431174,3083.779326204563,61512.994532943296,28022.71122885248,2563.279291127351,0,5974.887746097688,97749.98880931223,27216.77455142387,226023.6189559472,18536.276029182,20457.029075978262,0
IUU - RFMO Lists,FALSE,BGR,1824452.5790799998,428093.4581,5301749.731799999,212031.54231,0,0,472789.40961,0,0,0,146087.5612,0,187414.38483999998
IUU - RFMO Lists,FALSE,BHR,8235528.065000001,2047835.0357000004,0,1653254.1070000003,0,555531.758,0,0,989996.0100000001,0,425185.6642000002,0,0
IUU - RFMO Lists,FALSE,BLZ,0,0,808618.4729999991,0,14108365.4939,0,0,16631065.333199998,15723894.709999999,0,0,0,152154.30474999998
IUU - RFMO Lists,FALSE,BMU,0.25650326871955226,0.13636868179226114,12.972446658659397,0.02905206313258608,0.24777133929644118,0.14844040051937044,0.41155560690849,0,0.17258495337905946,3.30278016423311,0.13795036053360699,0.9560623823991954,0
IUU - RFMO Lists,FALSE,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,BRA,24714274.020000003,41658936.129999995,73099315.01,27928835.92,0,19992.158699999985,121220212.9,92115717.9,54151.86,6181967.382,0,0,0
IUU - RFMO Lists,FALSE,CAN,252536221.22999993,2227707.5333,101037117.817,3549806.2999999993,9683507.593,66579128.515999995,1848857.4479999999,36653749.471,16727.93,21232826.49,225940009.51999995,0,0
IUU - RFMO Lists,FALSE,CHE,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,CHL,9679527.72712,2525083.347,32295171.340000007,0,0,0,84617424.84,0,21449833.870000005,0,2887593.75,0,0
IUU - RFMO Lists,FALSE,CHN,428430229.05566055,137093.78942267568,3510619.693427713,14567021.030474717,1589430146.6085172,27744846.47132189,6188435.959941113,1061439385.6448858,275145480.86123157,3429952517.3346677,54842635.68075971,885323343.2684692,0
IUU - RFMO Lists,TRUE,CHN,435157.9443394505,139.24659732431368,3565.747572287025,14795.76952528105,1614389.2479152211,28180.52867811423,6285.614058886699,1078107.3551141736,279466.13876843854,3483813.6653316463,55703.83924028921,899225.7315306885,0
IUU - RFMO Lists,FALSE,CIV,2334346.5257,548840.4071,191394.96817,0,0,7853445.1426,0,529122.4399999998,655127.14,0,2699.812020000001,0,0
IUU - RFMO Lists,FALSE,CMR,5131498.144000001,153609.17709999997,371797.027,655684.3985000001,0,0,0,1288360.776,538959.66,0,0,0,0
IUU - RFMO Lists,FALSE,COD,2842892.8949999996,0,243883.5546,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,COG,408629.1227,380466.2344000001,214911.68748,0,0,0,0,452956.4412,265119.0399999999,0,0,0,0
IUU - RFMO Lists,FALSE,COK,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,COL,6595143.380000001,1626771.0612999997,5196927.512,0,151844.77600000045,0,4424219.207199999,0,139765.54999999996,0,0,0,0
IUU - RFMO Lists,FALSE,COM,0,59043.57451,0,0,4405053.869,0,0,0,1622522.9799999997,0,0,0,0
IUU - RFMO Lists,FALSE,CRI,0,654590.9734,4403587.134,0,2417657.052,0,0,433.2264065,52601.06,0,0,0,0
IUU - RFMO Lists,FALSE,CUW,999765.5417240221,59910.13714215521,1195043.986182043,544411.3521838295,49798.12030003184,0,116077.15935960264,1899038.3603153967,528754.0136504438,4391074.904079818,360113.58840644616,397429.0271189188,0
IUU - RFMO Lists,FALSE,CYM,353.39107411136456,187.87859965405815,17872.46954567398,40.02576593595346,341.36087296304436,204.5101134302342,567.0106221568767,0,237.7746777050587,4550.3241951593845,190.05771866526442,1317.1914491387056,0
IUU - RFMO Lists,FALSE,CYP,514868.08420000004,126184.23877000001,693216.3548000001,84554.11951,0,0,188892.564852,0,25864944.17,1336031.921,56289.1652674,61614.16672,0
IUU - RFMO Lists,FALSE,DEU,73196779.528,53376.36023999999,42851542.702,66868.28543,12513693.4724,15142811.6428,1828017.7262499996,16949207.717499997,5787534.169999999,15569847.317999998,136961.79090000002,1232884.4710000001,0
IUU - RFMO Lists,FALSE,DJI,1453744.8572999998,0,0,0,263227.5183999999,0,2413571.4437,8181.264560000002,6775.11,0,0,0,0
IUU - RFMO Lists,FALSE,DNK,4518160.8555778125,25542420.806994766,33745406.287469864,16586531.208122078,1229765.783275607,674140.8282749281,626451.9256446593,1198253.243353531,3075174.037691861,25515226.172378313,801232.6957167403,14436247.504951833,0
IUU - RFMO Lists,FALSE,DZA,317683.48999999993,4133443.0584,312950.655,36877410.007,0,31776201.77,55303477.09,0,0,48263446.502,1911084.319,0,0
IUU - RFMO Lists,FALSE,ECU,37660044.94,10550198.079300001,6281625.948,9619420.083,170907.92870000002,0,0,0,162267.81,0,114520.60399999999,0,0
IUU - RFMO Lists,FALSE,EGY,0,1353948.1429,3458434.6059999997,0,23313447.7283,19973336.61,0,0,4416742.68,0,0,0,0
IUU - RFMO Lists,FALSE,ESP,25069417.5096,35155587.0836,81759486.44700001,4609731.080600001,13383553.470000003,7675249.916000001,16243693.930000002,449133724.40999997,90588507.18000002,85485408.17450002,1557826.5800000003,4480049.791,0
IUU - RFMO Lists,FALSE,EST,1868468.4513000005,211365.6744,42518452.231000006,289040.07194,0,0,818941.122,0,289083.83,31145911.971,649721.3681780001,242586.72210000004,0
IUU - RFMO Lists,FALSE,FIN,3001759.7356,274690.00839999993,63208486.385999985,1017672.0137,307206.1418999999,248448.43403999996,563673.0749999998,3693260.6495999997,164441.84,5013350.2913999995,777831.6451849999,18009.25329,0
IUU - RFMO Lists,FALSE,FJI,13292325.350000001,0,12832039.738000002,1723498.34357,2683119.6810000003,0,4032921.305,6250635.984000001,216026.71,0,0,0,0
IUU - RFMO Lists,FALSE,FLK,420064.57178724353,223325.231714252,21244428.103801556,47577.33700722814,405764.65969526174,243094.57571970203,673987.2386252988,0,282635.0903830406,5408823.608064332,225915.48019921329,1565702.991892504,0
IUU - RFMO Lists,FALSE,FRA,15565972.764504455,4800641.399470984,61379685.38979247,2884266.474277088,5309346.581293663,30348069.24291926,7890913.379709553,2517093.4257539026,14105744.479546025,72547478.17232409,16797177.44678114,592048.6329574002,0
IUU - RFMO Lists,FALSE,FRO,3817479.3533868045,21581273.262071613,28512130.464551777,14014273.164520679,1039052.3129251901,569594.305177853,529301.0515740161,1012426.7733814196,2598272.5653663124,21558296.002188746,676976.6218883197,12197457.893182414,0
IUU - RFMO Lists,FALSE,FSM,1813991.3673999999,918208.2020500001,0,406750.3118999999,1573710.1964,3984136.3,552077.4232,0,1650680.35,0,0,0,0
IUU - RFMO Lists,FALSE,GBR,3943911.5276713152,2096760.867097846,199460155.7110221,446695.1523199329,3809652.197244331,2282371.7206527228,6327946.269327338,0,2653610.577877229,50782482.531733185,2121080.249272608,14700106.824914189,0
IUU - RFMO Lists,FALSE,GEO,9774056.775700003,2296071.4498099997,479714.66628,0,1354500.82574229,0,954467.67052,0,55214.75,0,0,0,979839.3202000002
IUU - RFMO Lists,FALSE,GHA,3192300.825,1161370.887,375147.63990000007,0,17458330.470172282,27522617.284,49469.83440000002,1838498.7140000002,2053122.88,0,0,0,0
IUU - RFMO Lists,FALSE,GIB,86.97169096406365,46.23806514910589,4398.523369611642,9.850584241085512,84.01098535162504,50.33118176231816,139.54475994498094,0,58.517793185482084,1119.8624376205685,46.77435958068744,324.1688204578075,0
IUU - RFMO Lists,FALSE,GIN,1334303.9460000002,29830.000798,982593.07364,0,9151982.283,1041456.8476799999,0,2154352.98,705379.22,0,4926.615260000003,0,0
IUU - RFMO Lists,FALSE,GMB,716198.6637000002,716329.5050999998,204832.86996000004,0,0,3966681.6862999997,0,0,16465.679999999997,0,0,0,0
IUU - RFMO Lists,FALSE,GNB,2452812.9175,51171.10693999999,2496243.448,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,GNQ,175989.1871,0,1298073.9344,0,0,0,502585.82259999996,0,15258.23,0,217144.36539999998,0,0
IUU - RFMO Lists,FALSE,GRC,4647094.909000001,7467732.419999998,16372496.4,0,0,1633924.8370000003,225469.23,38226129.65,3851613.15,78936007.15,7324612.23618,1529920.0507,0
IUU - RFMO Lists,FALSE,GRD,14344.884500000002,0,45771.85389999997,0,0,0,39748.15960000002,0,104324.85,613427.1752999999,0,0,0
IUU - RFMO Lists,FALSE,GRL,445582.29203538195,2519000.710933619,3327981.4419783563,1635768.3643572407,121279.84679920273,66483.95774721882,61780.864781324446,118172.07126504915,303274.5269418266,2516318.7684329436,79017.79339494,1423706.7818657525,0
IUU - RFMO Lists,FALSE,GTM,0,36440.23990000002,239106.65800000002,0,2672893.5488000005,0,0,462320.46320000006,128126.93,0,0,0,0
IUU - RFMO Lists,FALSE,GUF,164018.13671395017,50584.198577591924,646755.7011714152,30391.41980102923,55944.40813992333,319776.59510237625,83146.29153549999,26522.5296146297,148631.75989707455,764430.361863053,176991.29945524715,6238.396731821957,0
IUU - RFMO Lists,FALSE,GUY,629368.3191000002,277106.32488,0,0,4357676.346,0,795177.2325,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,HKG,1219931.6478000002,0,0,0,40838721.464,0,0,0,71892110.84,0,0,0,0
IUU - RFMO Lists,FALSE,HRV,7928557.245999999,0,23143094.066000003,0,2023253.682,0,0,0,50112.97,0,0,0,0
IUU - RFMO Lists,FALSE,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,IDN,209713356.92999995,50296714.465,32182468.197000004,45006416.96,0,10058799.190000001,77339306.27999999,88357724.16000001,1019127.28,141322801.1,0,0,0
IUU - RFMO Lists,FALSE,IND,29988783.4537357,26671473.672049593,2374949.7458319752,4770538.489407059,83468.13069510348,10515411.966005413,2758116.3817249225,36715607.67956746,15948151.429654757,85803562.72139783,501315.7860741099,0,0.18972407460359295
IUU - RFMO Lists,TRUE,IND,43614.086264297795,38789.567950406876,3454.0001680256482,6938.016592941652,121.39159489653935,15293.053994588068,4011.257275077586,53397.220432537884,23194.140345242995,124788.12260218446,729.086925890848,0,2.7592456922904626e-4
IUU - RFMO Lists,FALSE,IOT,1854.110330805107,985.7284976190733,93770.1397947338,210.00017135931358,1790.9923805658352,1072.9878082478922,2974.891923518132,0,1247.5144921115782,23873.843220213166,997.1615172019565,6910.8091641460205,0
IUU - RFMO Lists,FALSE,IRL,52532416.271000005,674664.1541,43617856.577300005,5472653.886299999,453491.46960000007,23756673.409700003,15206425.283599999,353844.8361,2518249.25,15606986.243999999,444278.73007,0,0
IUU - RFMO Lists,FALSE,IRN,28311136.689999994,15813395.210000003,2325831.86,6839700.572999999,0,0,21784141.57,0,3609634.32,0,0,0,0
IUU - RFMO Lists,FALSE,ISL,30822378.541,20569572.26,1477713.5872799999,0,0,0,8645022.577,63313521.351,13355709.04,0,13220257.971579999,0,0
IUU - RFMO Lists,FALSE,ISR,760857.39044,180555.48254199998,424847.71466999996,108106.9553,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,ITA,610464.4550000003,4962452.5428,49616976.426,9992652.825,745126.5225,0,10133871.45,3455597.7900000033,26327033.950000003,87490958.25999999,9102190.640999999,48416448.580000006,0
IUU - RFMO Lists,FALSE,JAM,0,0,0.23000000001118798,0,0,0,83681.21699999999,0,0,6597561.643000002,0,0,0
IUU - RFMO Lists,FALSE,JOR,79844.0972,0,0,0,41618.6691829,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,JPN,326010576.61999995,143647824.74,21637850.28,146739219.3,17735785.252,316509292.70000005,16535010.88,0,112772067.1,631740242.5,0,106928139.89999999,0
IUU - RFMO Lists,FALSE,KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0
IUU - RFMO Lists,FALSE,KEN,7614342.818000001,243909.7959,1043847.0889999999,711467.0494,38135798.14000001,962582.584,3204817.9190000007,437274.92431900004,315437.3400000001,0,0,0,0
IUU - RFMO Lists,FALSE,KHM,45374504.78616,3584232.70664,814461.0691800001,0,6110621.1959999995,0,0,0,1495908.1899999997,0,0,0,930672.2240999999
IUU - RFMO Lists,FALSE,KIR,51239495.47,0,5196945,532375.7763,4814415.379,0,8879105.887,0,1083381.27,628565.57109,0,0,0
IUU - RFMO Lists,FALSE,KNA,0,0,0,0,0,0,0,0,0,0,0,0,0
