description,affected,flag_iso3,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,AGO,7401510.172828917,116572.93142502486,0,6927770.321056509,0,2335893.966248542,3922533.6410223707,8453050.79095945,377276.61530784034,1514424.3928653193,352626.13660741015,0,0
Overfished - Median BvBmsy < 1 (RAM stocks only),TRUE,AGO,821.1161710823993,12.932484975155086,0,768.5599434892099,0,259.14175145791785,435.1619776301887,937.7730405502892,41.85469215968094,168.00873468070574,39.11999258983501,0,0
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,AIA,4738.188500167704,2519.034252766495,239630.07521866175,536.6565195372601,4576.890253235433,2742.0258705169335,7602.351633052326,0,3188.029710049094,61009.729314059405,2548.251393197553,17660.60841384319,0
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,ALB,360293.7156394772,83544.5224538851,938235.0738352867,0,112149.29577376894,77256.43163187364,101206.07136550416,0,670.0572504292536,4038534.0735455663,0,0,0
Overfished - Median BvBmsy < 1 (RAM stocks only),TRUE,ALB,8287.525890522853,1921.702663114886,21581.412964713356,0,2579.6736162310604,1777.0631281263682,2327.956054495829,0,15.412749570746449,92894.91945443297,0,0,0
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,ARE,20453515.302000005,5085942.867,1638767.4609999997,3826540.782,0,0,0,0,1029802.2400000001,0,0,0,0
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,ARG,23075700.715944182,13475327.25394956,10199594.41286723,15926458.246712672,29985179.611448143,0,35779536.39437411,55454803.30244651,5932.345855330573,83796018.59605628,10656189.801877575,11605530.981419872,0
Overfished - Median BvBmsy < 1 (RAM stocks only),TRUE,ARG,218078.89405581664,127349.7390504392,96392.1441327707,150514.36328732636,283377.5185518596,0,338137.5856258882,524080.38755349035,56.06414466942717,791921.479943708,100707.23812242194,109679.06858012849,0
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,ATF,16161.118461930148,4984.187980015818,63726.46167044855,2994.5428320971077,5512.342874670469,31508.390098438587,8192.612683552738,2613.331376636866,14645.060156310623,75321.2411838976,17439.396730958713,614.6848794613672,0
