Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2021,biomass,Total,atlantic,117868238.26263049,118102194.19395864,0.001984893765925762,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2022,biomass,Total,atlantic,118889720.9759423,119466935.30318485,0.004855039800786094,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2023,biomass,Total,atlantic,119613269.34478487,120571617.32730156,0.008012054078667945,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2024,biomass,Total,atlantic,120121290.94845885,121459568.7065915,0.011141053742977788,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2025,biomass,Total,atlantic,120475297.78720775,122172567.25230485,0.014088111806081115,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2026,biomass,Total,atlantic,120720264.9730378,122747009.01157904,0.01678876399910077,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2027,biomass,Total,atlantic,120888591.50156985,123212847.90999162,0.019226433028559087,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2028,biomass,Total,atlantic,121003365.78118336,123593895.86469206,0.021408744019511733,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2029,biomass,Total,atlantic,121080910.2999566,123908683.37519522,0.02335440878527677,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2030,biomass,Total,atlantic,121132694.93833397,124171454.6449103,0.025086205735976558,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2031,biomass,Total,atlantic,121166741.7740778,124393095.15633468,0.026627384173394688,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2032,biomass,Total,atlantic,121188639.86645159,124581914.87713932,0.027999943017984783,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2033,biomass,Total,atlantic,121202270.00943616,124744274.06041616,0.029223908518415043,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2034,biomass,Total,atlantic,121210318.18553576,124885066.87969625,0.03031712769316866,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2035,biomass,Total,atlantic,121214637.21770048,125008087.58264138,0.03129531591244951,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2036,biomass,Total,atlantic,121216500.42053422,125116304.28885144,0.03217221958056615,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2037,biomass,Total,atlantic,121216778.94061874,125212062.34242499,0.03295982154222598,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2038,biomass,Total,atlantic,121216065.44248295,125297234.92545316,0.03366855266315111,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2039,biomass,Total,atlantic,121214760.20488665,125373334.63284065,0.03430749209852708,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2040,biomass,Total,atlantic,121213130.95165947,125441596.33287022,0.03488454879444606,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2041,biomass,Total,atlantic,121211354.36638525,125503038.96727917,0.03540662195656564,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2042,biomass,Total,atlantic,121209544.85421994,125558511.90832673,0.03587974081857446,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2043,biomass,Total,atlantic,121207774.43564911,125608729.972431,0.03630918525872629,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2044,biomass,Total,atlantic,121206086.48042324,125654300.07431485,0.036699589295048025,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2045,biomass,Total,atlantic,121204505.16728914,125695741.6926604,0.03705502958963749,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2046,biomass,Total,atlantic,121203041.98106599,125733502.7288135,0.03737910100024756,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2047,biomass,Total,atlantic,121201700.1585557,125767971.91365945,0.03767498103681854,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2048,biomass,Total,atlantic,121200477.71627626,125799488.60944891,0.037945484867961385,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
2049,biomass,Total,atlantic,121199369.49928644,125828350.63016595,0.038193112307459316,TN/RL/W/276/Rev.1 | Management exemption,Chair's text - Consolidated text (June 2021) - Management exemption (TN/RL/W/276/Rev.1 | Management exemption),Other
