Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2021,biomass,Total,atlantic,117868149.37254956,118043564.769622,0.0014882340819485803,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2022,biomass,Total,atlantic,118889185.64731354,119323986.16825332,0.0036571915147070163,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2023,biomass,Total,atlantic,119611863.50655177,120336290.68732741,0.00605648268941117,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2024,biomass,Total,atlantic,120118709.08045445,121133118.3241679,0.008445056157188728,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2025,biomass,Total,atlantic,120471432.86451638,121760908.17587294,0.01070357744318289,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2026,biomass,Total,atlantic,120715201.81287998,122258128.57761782,0.012781544839145672,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2027,biomass,Total,atlantic,120882554.80911182,122655384.40297563,0.014665719107801184,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2028,biomass,Total,atlantic,120996656.48059091,122976373.8068359,0.01636175233125191,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2029,biomass,Total,atlantic,121073849.56197006,123239117.00809953,0.017883857281841917,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2030,biomass,Total,atlantic,121125583.69084464,123457159.44485913,0.019249242670033265,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2031,biomass,Total,atlantic,121159836.34021282,123640618.48038286,0.020475284674403845,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2032,biomass,Total,atlantic,121182140.95999822,123797035.29140227,0.021578215326854246,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2033,biomass,Total,atlantic,121196321.28915374,123932039.59338704,0.02257261833637954,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2034,biomass,Total,atlantic,121205010.79658823,124049853.92806116,0.023471332684811816,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2035,biomass,Total,atlantic,121210017.48384565,124153668.9631867,0.024285546198632983,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2036,biomass,Total,atlantic,121212578.67820434,124245919.19370505,0.025024964806281653,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2037,biomass,Total,atlantic,121213538.23137993,124328483.78112504,0.0256980003652654,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2038,biomass,Total,atlantic,121213469.33867186,124402832.15217218,0.026311950568704518,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2039,biomass,Total,atlantic,121212759.43505943,124470129.34664728,0.026873160274294455,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2040,biomass,Total,atlantic,121211668.74559543,124531312.28247726,0.027387161411408775,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2041,biomass,Total,atlantic,121210370.58822507,124587145.1159898,0.02785879220876479,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2042,biomass,Total,atlantic,121208979.06854272,124638259.61487743,0.028292297919574775,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2043,biomass,Total,atlantic,121207568.08031343,124685184.79104531,0.02869141560886341,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2044,biomass,Total,atlantic,121206184.32055731,124728368.82589743,0.029059445481963993,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2045,biomass,Total,atlantic,121204856.18988413,124768195.44706756,0.02939931096160842,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2046,biomass,Total,atlantic,121203599.86766736,124804996.29213856,0.029713609401067955,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2047,biomass,Total,atlantic,121202423.44974902,124839060.35215156,0.03000465501343955,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2048,biomass,Total,atlantic,121201329.75896148,124870641.27423936,0.030274515325658568,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2049,biomass,Total,atlantic,121200318.24758866,124899963.08106862,0.030525042235634244,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2050,biomass,Total,atlantic,121199386.27933207,124927224.7080307,0.030757898559873577,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2051,biomass,Total,atlantic,121198529.98791377,124952603.6481248,0.03097458080213838,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2052,biomass,Total,atlantic,121197744.8473394,124976258.91567625,0.031176438745591003,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2053,biomass,Total,atlantic,121197026.04622717,124998333.48389018,0.031364692366404295,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2054,biomass,Total,atlantic,121196368.72938427,125018956.3110523,0.031540446481555566,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2055,biomass,Total,atlantic,121195768.14978632,125038244.04126084,0.03170470347385054,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2056,biomass,Total,atlantic,121195219.76040071,125056302.44461231,0.031858374380151634,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2057,biomass,Total,atlantic,121194719.26590908,125073227.64646061,0.03200228858191282,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2058,biomass,Total,atlantic,121194262.64796302,125089107.18410355,0.03213720229854457,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2059,biomass,Total,atlantic,121193846.17322063,125104020.9208807,0.03226380605225874,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2060,biomass,Total,atlantic,121193466.3904135,125118041.841387,0.032382731246673443,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2061,biomass,Total,atlantic,121193120.12065002,125131236.74674736,0.03249455597955451,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2062,biomass,Total,atlantic,121192804.4437686,125143666.8652505,0.03259981019182558,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2063,biomass,Total,atlantic,121192516.68260509,125155388.39081787,0.032698980239772295,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2064,biomass,Total,atlantic,121192254.38639726,125166452.95957258,0.032792512964602415,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2065,biomass,Total,atlantic,121192015.3141126,125176908.07302652,0.03288081932283773,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2066,biomass,Total,atlantic,121191797.41819271,125186797.47500715,0.03296427763200022,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2067,biomass,Total,atlantic,121191598.82901055,125196161.48831916,0.03304323647845143,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2068,biomass,Total,atlantic,121191417.84020513,125205037.31621975,0.03311801732781692,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2069,biomass,Total,atlantic,121191252.894973,125213459.313034,0.03318891687295894,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2070,biomass,Total,atlantic,121191102.57333842,125221459.22761413,0.033256209149815745,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2071,biomass,Total,atlantic,121190965.58038923,125229066.42282936,0.033320147447472456,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2072,biomass,Total,atlantic,121190840.73544356,125236308.07383779,0.033380966035423204,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2073,biomass,Total,atlantic,121190726.96209931,125243209.34752627,0.03343888172809055,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2074,biomass,Total,atlantic,121190623.27911204,125249793.56519406,0.0334940953041673,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2075,biomass,Total,atlantic,121190528.79204471,125256082.35029173,0.033546792796186636,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2076,biomass,Total,atlantic,121190442.68563151,125262095.76280147,0.03359714666388206,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2077,biomass,Total,atlantic,121190364.2168009,125267852.4216508,0.03364531686327441,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2078,biomass,Total,atlantic,121190292.70830457,125273369.61638539,0.03369145182204039,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2079,biomass,Total,atlantic,121190227.54290238,125278663.40918177,0.03373568933049533,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2080,biomass,Total,atlantic,121190168.1580567,125283748.72815636,0.033778157356467955,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2019,price,Total,atlantic,1350.1688088039184,1350.1688088039184,0,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2020,price,Total,atlantic,1329.7755079658073,1337.8493102232612,0.006071552836617266,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2021,price,Total,atlantic,1315.0557570807794,1327.2119099566833,0.009243830773296397,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2022,price,Total,atlantic,1304.5341981785496,1318.577340793367,0.010764871196496939,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2023,price,Total,atlantic,1297.0715869428666,1311.8263406123194,0.01137543510935203,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
2024,price,Total,atlantic,1291.811979377169,1306.6789569935138,0.011508623432577712,RD/TN/RL/136,Artisanal - Exemption,Other & Multiple
