Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2021,biomass,Total,atlantic,117873629.10458377,118286273.86935349,0.0035007386122268076,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2022,biomass,Total,atlantic,118904437.51887377,119934640.79433554,0.008664128075945469,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2023,biomass,Total,atlantic,119638257.27779822,121362146.71861896,0.014409182146626337,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2024,biomass,Total,atlantic,120155068.67846416,122571965.11505659,0.020114810495927244,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2025,biomass,Total,atlantic,120515044.8939693,123581416.19941434,0.02544388800703579,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2026,biomass,Total,atlantic,120762781.649923,124413956.36388324,0.03023427138788976,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2027,biomass,Total,atlantic,120930938.19713701,125094555.40091255,0.03442971059224042,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
2028,biomass,Total,atlantic,121043196.38085935,125647165.06334138,0.03803574938648979,RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers],Other & Multiple
