Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2021,biomass,Total,atlantic,117868282.02351147,118101818.25310852,0.001981332259941338,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2022,biomass,Total,atlantic,118889823.27136117,119466110.3797929,0.004847236647970911,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2023,biomass,Total,atlantic,119613415.64388745,120570310.33898069,0.007999894409353774,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2024,biomass,Total,atlantic,120121453.5701362,121457728.74756427,0.011124367360804919,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2025,biomass,Total,atlantic,120475449.43386757,122170132.1336014,0.014066622765861384,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2026,biomass,Total,atlantic,120720385.71558078,122743924.06755707,0.01676219256575091,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2027,biomass,Total,atlantic,120888670.53713039,123209079.26859006,0.019194592190894966,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2028,biomass,Total,atlantic,121003400.2670802,123589434.9955894,0.021371587267806316,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2029,biomass,Total,atlantic,121080903.07556556,123903545.10900983,0.023312033208760293,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2030,biomass,Total,atlantic,121132652.20121334,124165671.85126644,0.0250388280528602,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2031,biomass,Total,atlantic,121166671.19285256,124386712.56779933,0.026575306090745508,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2032,biomass,Total,atlantic,121188549.25729047,124574983.50843796,0.027943516709304714,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2033,biomass,Total,atlantic,121202166.52586153,124736846.83618748,0.029163507647132176,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2034,biomass,Total,atlantic,121210207.90569535,124877195.56355959,0.030253125716253645,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2035,biomass,Total,atlantic,121214525.00656967,124999820.84110895,0.03122807134156671,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2036,biomass,Total,atlantic,121216389.96341573,125107686.63367236,0.032102066984762215,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2037,biomass,Total,atlantic,121216672.87037039,125203133.6964798,0.03288706686721675,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2038,biomass,Total,atlantic,121215965.50739883,125288030.59850872,0.03359347157005761,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2039,biomass,Total,atlantic,121214667.44383007,125363885.54492861,0.034230330277655985,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2040,biomass,Total,atlantic,121213045.85740781,125431929.37059718,0.034805523476015704,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2041,biomass,Total,atlantic,121211277.02788927,125493177.39675963,0.03532592407128215,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2042,biomass,Total,atlantic,121209475.07464881,125548475.79697476,0.03579753744213237,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
2043,biomass,Total,atlantic,121207711.82670203,125598536.5918484,0.03622562210747944,TN/RL/W/276/Rev.1 | Managed exemption,Chair's text - June 2021 [Managed exemption],Other & Multiple
