Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2021,biomass,Total,atlantic,117868162.5635793,118044983.01679829,0.0015001544893312715,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2022,biomass,Total,atlantic,118889222.8850339,119327520.38336286,0.003686604115099553,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2023,biomass,Total,atlantic,119611929.10333134,120342209.02926359,0.006105410483776774,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2024,biomass,Total,atlantic,120118801.44496226,121141445.08277316,0.008513601746846185,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2025,biomass,Total,atlantic,120471546.62054807,121771540.46480946,0.010790878682383091,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2026,biomass,Total,atlantic,120715329.88473317,122270906.69512808,0.012886323649865172,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2027,biomass,Total,atlantic,120882689.95651312,122670131.90135816,0.014786583136825116,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2028,biomass,Total,atlantic,120996792.2301327,122992918.62287794,0.016497349689640218,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2029,biomass,Total,atlantic,121073980.65532997,123257301.34193258,0.018032947085617212,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2030,biomass,Total,atlantic,121125706.20428313,123476843.32293054,0.019410719593098834,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2031,biomass,Total,atlantic,121159947.60856438,123661680.01049379,0.020648179958048855,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2032,biomass,Total,atlantic,121182239.40233824,123819369.35305719,0.021761686891784492,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2033,biomass,Total,atlantic,121196406.19960202,123955555.92243049,0.022765936790933684,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2034,biomass,Total,atlantic,121205082.13768768,124074475.09138024,0.023673866665367676,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2035,biomass,Total,atlantic,121210075.70193425,124179328.45770985,0.024496748629026868,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2036,biomass,Total,atlantic,121212624.54870683,124272559.76293175,0.025244360689470485,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2037,biomass,Total,atlantic,121213572.73518392,124356055.97054929,0.02592517623608673,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2038,biomass,Total,atlantic,121213493.56716356,124431293.0912171,0.026546545515335578,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2039,biomass,Total,atlantic,121212774.51980005,124499441.73117001,0.02711485835045452,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2040,biomass,Total,atlantic,121211675.80819902,124561443.528496,0.02763568524205152,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2041,biomass,Total,atlantic,121210370.70621198,124618066.65660639,0.028113897602490903,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2042,biomass,Total,atlantic,121208973.25345647,124669946.31558959,0.02855376932280402,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2043,biomass,Total,atlantic,121207557.26500003,124717614.46235713,0.02895906226113402,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2044,biomass,Total,atlantic,121206169.35311066,124761521.81569883,0.02933309815468507,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2045,biomass,Total,atlantic,121204837.83230263,124802054.29840147,0.02967881918274504,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2046,biomass,Total,atlantic,121203578.79772705,124839545.45464204,0.029998839085295888,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2047,biomass,Total,atlantic,121202400.26497269,124874285.937664,0.030295486431488477,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2048,biomass,Total,atlantic,121201304.98186152,124906530.84887147,0.030570841358221856,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2049,biomass,Total,atlantic,121200292.33159117,124936505.48748064,0.03082676686676285,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2050,biomass,Total,atlantic,121199359.61496672,124964409.91284335,0.03106493557257778,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2051,biomass,Total,atlantic,121198502.90898371,124990422.61032797,0.03128685264529942,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2052,biomass,Total,atlantic,121197717.63688359,125014703.47266063,0.03149387554650977,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2053,biomass,Total,atlantic,121196998.94215775,125037396.25233504,0.03168723106757913,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2054,biomass,Total,atlantic,121196341.92973143,125058630.60039553,0.0318680300838075,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2055,biomass,Total,atlantic,121195741.81751864,125078523.77787389,0.03203728037080262,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2056,biomass,Total,atlantic,121195194.0278134,125097182.1051237,0.032195897771448066,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2057,biomass,Total,atlantic,121194694.23858814,125114702.19893321,0.03234471595454508,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2058,biomass,Total,atlantic,121194238.40834409,125131172.03598323,0.032484494967279655,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2059,biomass,Total,atlantic,121193822.78376721,125146671.87280765,0.0326159287515262,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2060,biomass,Total,atlantic,121193443.8964424,125161275.04610401,0.03273965176740134,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2061,biomass,Total,atlantic,121193098.55283359,125175048.67245638,0.03285624484538518,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2062,biomass,Total,atlantic,121192783.8203425,125188054.26286638,0.03296624036994244,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2063,biomass,Total,atlantic,121192497.01131019,125200348.26464829,0.03307012688222827,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2064,biomass,Total,atlantic,121192235.66618237,125211982.54102062,0.03316835317660472,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2065,biomass,Total,atlantic,121191997.53662282,125223004.7969682,0.03326133195491939,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2066,biomass,Total,atlantic,121191780.5690666,125233458.95854367,0.033349443093409634,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2067,biomass,Total,atlantic,121191582.88900709,125243385.51164296,0.03343303656943487,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2068,biomass,Total,atlantic,121191402.78618005,125252821.80536735,0.033512435088757314,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2069,biomass,Total,atlantic,121191238.70072123,125261802.32432692,0.03358793644858965,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2070,biomass,Total,atlantic,121191089.2103188,125270358.93361384,0.03365981566694017,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2071,biomass,Total,atlantic,121190953.01834515,125278521.09965251,0.033728326904803,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2072,biomass,Total,atlantic,121190828.94293228,125286316.0896964,0.033793705204315905,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2073,biomass,Total,atlantic,121190715.9069411,125293769.15237251,0.03385616806308848,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2074,biomass,Total,atlantic,121190612.92876914,125300903.68136303,0.03391591686238727,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
2075,biomass,Total,atlantic,121190519.11393875,125307741.36404674,0.033973138164687056,RD/TN/RL/126/Rev.2 | Objective definition,Chair's text - Consolidated text (Dec 2020) [Objective definition],Other & Multiple
