Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2021,biomass,Total,atlantic,117873629.10458377,118213484.11627814,0.002883214967385404,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2022,biomass,Total,atlantic,118904437.51887377,119755889.1569947,0.007160806239765299,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2023,biomass,Total,atlantic,119638257.27779822,121066839.55179502,0.01194084824120811,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2024,biomass,Total,atlantic,120155068.67846416,122162054.52158093,0.016703297373891767,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2025,biomass,Total,atlantic,120515044.8939693,123065363.75469334,0.021161829736427103,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2026,biomass,Total,atlantic,120762781.649923,123803116.9611053,0.025176095396641965,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2027,biomass,Total,atlantic,120930938.19713701,124401065.90639767,0.02869511938792526,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2028,biomass,Total,atlantic,121043196.38085935,124882771.68038899,0.03172070314012954,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2029,biomass,Total,atlantic,121116579.57263893,125269383.04174423,0.03428765478482394,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2030,biomass,Total,atlantic,121163225.95489696,125579391.65148515,0.03644806963320791,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2031,biomass,Total,atlantic,121191721.30228908,125827294.13314319,0.03824991328649893,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2032,biomass,Total,atlantic,121208088.00657366,126025102.92624094,0.039741695450274124,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2033,biomass,Total,atlantic,121216511.83589882,126182668.47458446,0.0409693082524001,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2034,biomass,Total,atlantic,121219871.73623931,126308004.99355988,0.041974415452210416,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2035,biomass,Total,atlantic,121220123.41709962,126407593.7618573,0.042793805174644116,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2036,biomass,Total,atlantic,121218575.34540884,126486652.22494018,0.04345932019511123,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2037,biomass,Total,atlantic,121216086.13051592,126549365.48496687,0.043998115470487154,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2038,biomass,Total,atlantic,121213204.82400233,126599081.26545675,0.044433083419207875,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2039,biomass,Total,atlantic,121210269.9925802,126638471.6628179,0.04478334773588058,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2040,biomass,Total,atlantic,121207479.17413479,126669665.87726133,0.04506476613773306,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2041,biomass,Total,atlantic,121204937.1709694,126694358.24351685,0.04529040813580207,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
2042,biomass,Total,atlantic,121202689.3062346,126713895.61756958,0.04547099031284852,RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81,Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis],Other & Multiple
