Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2021,biomass,Total,atlantic,117868149.37254955,118043573.15255803,0.001488305203248865,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2022,biomass,Total,atlantic,118889185.6473135,119324007.47809544,0.003657370755922594,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2023,biomass,Total,atlantic,119611863.50655171,120336327.17634134,0.006056787751241288,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2024,biomass,Total,atlantic,120118709.08045438,121133170.91613118,0.008445493990426814,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2025,biomass,Total,atlantic,120471432.8645163,121760977.06200421,0.01070414924788139,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2026,biomass,Total,atlantic,120715201.81287995,122258213.57371002,0.012782248943442017,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2027,biomass,Total,atlantic,120882554.80911182,122655485.15417068,0.014666552571283176,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2028,biomass,Total,atlantic,120996656.48059091,122976489.89889197,0.016362711796244107,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2029,biomass,Total,atlantic,121073849.56197006,123239248.02382982,0.017884939396028966,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2030,biomass,Total,atlantic,121125583.69084464,123457304.98995864,0.01925044427497152,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2031,biomass,Total,atlantic,121159836.3402128,123640778.19307014,0.020476602872679144,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2032,biomass,Total,atlantic,121182140.9599982,123797208.84406278,0.02157964749053076,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2033,biomass,Total,atlantic,121196321.28915372,123932226.69064136,0.02257416208995511,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2034,biomass,Total,atlantic,121205010.7965882,124050054.30352154,0.02347298587933818,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2035,biomass,Total,atlantic,121210017.48384562,124153882.37598181,0.024287306884750948,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2036,biomass,Total,atlantic,121212578.67820434,124246145.42523612,0.025026831209368987,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2037,biomass,Total,atlantic,121213538.23137994,124328722.6322116,0.025699970863693435,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2038,biomass,Total,atlantic,121213469.33867183,124403083.44060647,0.026314023675230537,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
2039,biomass,Total,atlantic,121212759.43505937,124470392.90512042,0.026875334620249696,TN/RL/W/276/Rev.1 | Full exemption,Chair's text - June 2021 [Full exemption],Other & Multiple
