Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2021,biomass,Total,atlantic,117872461.20676962,117924520.91067703,4.4166129539021954e-4,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2022,biomass,Total,atlantic,118900900.75881964,119032668.17935817,0.0011082121304178238,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2023,biomass,Total,atlantic,119631597.29630427,119854492.02866638,0.00186317609560992,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2024,biomass,Total,atlantic,120145077.97906178,120460422.74887444,0.00262469986383974,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2025,biomass,Total,atlantic,120501978.0325787,120905308.10769236,0.003347082609752767,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2026,biomass,Total,atlantic,120747205.0163072,121231137.34934017,0.0040078139528580345,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2027,biomass,Total,atlantic,120913578.93741587,121469623.87771918,0.004598697228134453,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2028,biomass,Total,atlantic,121024819.40404479,121644456.83587942,0.005119920317880798,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2029,biomass,Total,atlantic,121097900.9761988,121773167.26463415,0.005576201428694129,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
2030,biomass,Total,atlantic,121144860.66710144,121868623.97743537,0.0059743624809869495,WT/MIN(21)/W/5 | Full exemption,Chair's text - Nov 2021 [Full exemption],Other & Multiple
