Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/91,OFOC - ABNJ,OFOC
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/91,OFOC - ABNJ,OFOC
2021,biomass,Total,atlantic,117868375.06211495,118069447.94154389,0.0017059103370431253,RD/TN/RL/91,OFOC - ABNJ,OFOC
2022,biomass,Total,atlantic,118889853.85001428,119387514.45992005,0.004185896388884363,RD/TN/RL/91,OFOC - ABNJ,OFOC
2023,biomass,Total,atlantic,119613091.5866513,120441102.30487117,0.006922408803555091,RD/TN/RL/91,OFOC - ABNJ,OFOC
2024,biomass,Total,atlantic,120120504.85487522,121278395.11742236,0.009639405561490538,RD/TN/RL/91,OFOC - ABNJ,OFOC
2025,biomass,Total,atlantic,120473719.94737464,121943607.26948047,0.01220089595264346,RD/TN/RL/91,OFOC - ABNJ,OFOC
2026,biomass,Total,atlantic,120717854.07632232,122474293.51773512,0.014549955802745798,RD/TN/RL/91,OFOC - ABNJ,OFOC
2027,biomass,Total,atlantic,120885427.15353027,122900875.30115959,0.016672383057964507,RD/TN/RL/91,OFOC - ABNJ,OFOC
2028,biomass,Total,atlantic,120999607.30979264,123247243.87603077,0.018575569096547236,RD/TN/RL/91,OFOC - ABNJ,OFOC
2029,biomass,Total,atlantic,121076754.65492167,123531783.12646683,0.020276629304627345,RD/TN/RL/91,OFOC - ABNJ,OFOC
2030,biomass,Total,atlantic,121128343.00374,123768458.53611737,0.021796017900582196,RD/TN/RL/91,OFOC - ABNJ,OFOC
2031,biomass,Total,atlantic,121162375.75781424,123967804.37590612,0.02315428861926181,RD/TN/RL/91,OFOC - ABNJ,OFOC
2032,biomass,Total,atlantic,121184410.85313836,124137747.34044139,0.024370597393769892,RD/TN/RL/91,OFOC - ABNJ,OFOC
2033,biomass,Total,atlantic,121198293.33484238,124284260.19601391,0.02546213132428959,RD/TN/RL/91,OFOC - ABNJ,OFOC
2034,biomass,Total,atlantic,121206674.087612,124411863.99043235,0.02644400505951955,RD/TN/RL/91,OFOC - ABNJ,OFOC
2035,biomass,Total,atlantic,121211374.58660513,124524005.67973365,0.02732937485798128,RD/TN/RL/91,OFOC - ABNJ,OFOC
2036,biomass,Total,atlantic,121213642.01748633,124623338.05359776,0.02812963936534095,RD/TN/RL/91,OFOC - ABNJ,OFOC
2037,biomass,Total,atlantic,121214326.9851166,124711925.37357146,0.028854661618377093,RD/TN/RL/91,OFOC - ABNJ,OFOC
2038,biomass,Total,atlantic,121214006.89910033,124791393.68014923,0.02951298181262784,RD/TN/RL/91,OFOC - ABNJ,OFOC
2039,biomass,Total,atlantic,121213071.4174186,124863040.4521889,0.030112008482987635,RD/TN/RL/91,OFOC - ABNJ,OFOC
2040,biomass,Total,atlantic,121211781.48585495,124927914.67140767,0.030658184707782532,RD/TN/RL/91,OFOC - ABNJ,OFOC
2041,biomass,Total,atlantic,121210310.0549033,124986875.45357373,0.031157130090334773,RD/TN/RL/91,OFOC - ABNJ,OFOC
2042,biomass,Total,atlantic,121208770.11133015,125040635.1956447,0.031613760958014755,RD/TN/RL/91,OFOC - ABNJ,OFOC
2043,biomass,Total,atlantic,121207233.94369212,125089791.53859453,0.032032391702842486,RD/TN/RL/91,OFOC - ABNJ,OFOC
2044,biomass,Total,atlantic,121205746.35979013,125134851.23718897,0.03241682012118123,RD/TN/RL/91,OFOC - ABNJ,OFOC
2045,biomass,Total,atlantic,121204333.73710304,125176248.15307757,0.03277039932078473,RD/TN/RL/91,OFOC - ABNJ,OFOC
2046,biomass,Total,atlantic,121203010.20586729,125214356.95919982,0.033096098409759966,RD/TN/RL/91,OFOC - ABNJ,OFOC
2047,biomass,Total,atlantic,121201781.86154723,125249503.69445121,0.03339655383555191,RD/TN/RL/91,OFOC - ABNJ,OFOC
2048,biomass,Total,atlantic,121200649.62471086,125281973.9875397,0.03367411293146006,RD/TN/RL/91,OFOC - ABNJ,OFOC
2049,biomass,Total,atlantic,121199611.17379388,125312019.54112181,0.033930870961549134,RD/TN/RL/91,OFOC - ABNJ,OFOC
2050,biomass,Total,atlantic,121198662.24340887,125339863.30500673,0.03416870273106553,RD/TN/RL/91,OFOC - ABNJ,OFOC
2051,biomass,Total,atlantic,121197797.48931181,125365703.65138967,0.03438928964402524,RD/TN/RL/91,OFOC - ABNJ,OFOC
2052,biomass,Total,atlantic,121197011.05810271,125389717.78216851,0.03459414293687311,RD/TN/RL/91,OFOC - ABNJ,OFOC
2053,biomass,Total,atlantic,121196296.956364,125412064.53881535,0.034784623691672734,RD/TN/RL/91,OFOC - ABNJ,OFOC
2054,biomass,Total,atlantic,121195649.28411852,125432886.74223924,0.034961960129339116,RD/TN/RL/91,OFOC - ABNJ,OFOC
2055,biomass,Total,atlantic,121195062.37699726,125452313.15880905,0.035127262598940764,RD/TN/RL/91,OFOC - ABNJ,OFOC
2056,biomass,Total,atlantic,121194530.88743688,125470460.16583568,0.03528153660968577,RD/TN/RL/91,OFOC - ABNJ,OFOC
2057,biomass,Total,atlantic,121194049.82557212,125487433.17295687,0.03542569419508614,RD/TN/RL/91,OFOC - ABNJ,OFOC
2058,biomass,Total,atlantic,121193614.57386984,125503327.84334311,0.03556056385170703,RD/TN/RL/91,OFOC - ABNJ,OFOC
2059,biomass,Total,atlantic,121193220.88501623,125518231.149255,0.03568689925604151,RD/TN/RL/91,OFOC - ABNJ,OFOC
2060,biomass,Total,atlantic,121192864.86946833,125532222.2893781,0.03580538693085201,RD/TN/RL/91,OFOC - ABNJ,OFOC
2061,biomass,Total,atlantic,121192542.97696091,125545373.48993546,0.0359166530056394,RD/TN/RL/91,OFOC - ABNJ,OFOC
2062,biomass,Total,atlantic,121192251.97481555,125557750.70739065,0.036021269193696304,RD/TN/RL/91,OFOC - ABNJ,OFOC
2063,biomass,Total,atlantic,121191988.92491561,125569414.24729428,0.03611975808970917,RD/TN/RL/91,OFOC - ABNJ,OFOC
2064,biomass,Total,atlantic,121191751.16054463,125580419.31126058,0.036212597876419894,RD/TN/RL/91,OFOC - ABNJ,OFOC
2065,biomass,Total,atlantic,121191536.26383609,125590816.4820238,0.03630022651590462,RD/TN/RL/91,OFOC - ABNJ,OFOC
2066,biomass,Total,atlantic,121191342.04428034,125600652.15489185,0.036383045490167604,RD/TN/RL/91,OFOC - ABNJ,OFOC
2067,biomass,Total,atlantic,121191166.5185346,125609968.92259416,0.03646142314657695,RD/TN/RL/91,OFOC - ABNJ,OFOC
2068,biomass,Total,atlantic,121191007.89164881,125618805.9194467,0.03653569769595925,RD/TN/RL/91,OFOC - ABNJ,OFOC
2069,biomass,Total,atlantic,121190864.53973536,125627199.12987326,0.03660617990461929,RD/TN/RL/91,OFOC - ABNJ,OFOC
2070,biomass,Total,atlantic,121190734.9940567,125635181.66559143,0.036673155515994614,RD/TN/RL/91,OFOC - ABNJ,OFOC
2071,biomass,Total,atlantic,121190617.92647213,125642784.01516575,0.036736887432943066,RD/TN/RL/91,OFOC - ABNJ,OFOC
2072,biomass,Total,atlantic,121190512.13616635,125650034.26912028,0.03679761768762335,RD/TN/RL/91,OFOC - ABNJ,OFOC
2073,biomass,Total,atlantic,121190416.53757344,125656958.32337502,0.036855569222478776,RD/TN/RL/91,OFOC - ABNJ,OFOC
2074,biomass,Total,atlantic,121190330.1494065,125663580.06340918,0.0369109475028903,RD/TN/RL/91,OFOC - ABNJ,OFOC
2075,biomass,Total,atlantic,121190252.08470416,125669921.53124507,0.03696394197950762,RD/TN/RL/91,OFOC - ABNJ,OFOC
2076,biomass,Total,atlantic,121190181.54180814,125676003.07708478,0.03701472741609121,RD/TN/RL/91,OFOC - ABNJ,OFOC
2077,biomass,Total,atlantic,121190117.79619056,125681843.49720666,0.037063465096799246,RD/TN/RL/91,OFOC - ABNJ,OFOC
2078,biomass,Total,atlantic,121190060.19305514,125687460.15953393,0.037110303925210204,RD/TN/RL/91,OFOC - ABNJ,OFOC
2079,biomass,Total,atlantic,121190008.14064164,125692869.11812277,0.03715538142596321,RD/TN/RL/91,OFOC - ABNJ,OFOC
2080,biomass,Total,atlantic,121189961.10416868,125698085.21767095,0.03719882465864736,RD/TN/RL/91,OFOC - ABNJ,OFOC
2019,price,Total,atlantic,1350.1688088039182,1350.1688088039182,0,RD/TN/RL/91,OFOC - ABNJ,OFOC
2020,price,Total,atlantic,1329.7858284406755,1339.0495632239185,0.006966335920503724,RD/TN/RL/91,OFOC - ABNJ,OFOC
2021,price,Total,atlantic,1315.0760981329095,1328.997742533147,0.010586189209888961,RD/TN/RL/91,OFOC - ABNJ,OFOC
2022,price,Total,atlantic,1304.5605520181691,1320.6118929240095,0.012304021366435417,RD/TN/RL/91,OFOC - ABNJ,OFOC
2023,price,Total,atlantic,1297.0995425832675,1313.9300930719958,0.012975527271568527,RD/TN/RL/91,OFOC - ABNJ,OFOC
2024,price,Total,atlantic,1291.838054591441,1308.761636863404,0.013100389953534226,RD/TN/RL/91,OFOC - ABNJ,OFOC
2025,price,Total,atlantic,1288.1463764384562,1304.843894080176,0.01296243807934781,RD/TN/RL/91,OFOC - ABNJ,OFOC
2026,price,Total,atlantic,1285.5671013706494,1301.9155763577237,0.012716936338557363,RD/TN/RL/91,OFOC - ABNJ,OFOC
2027,price,Total,atlantic,1283.7715343444233,1299.7476001743073,0.012444633178474685,RD/TN/RL/91,OFOC - ABNJ,OFOC
2028,price,Total,atlantic,1282.5254801527547,1298.152373205881,0.012184469856509353,RD/TN/RL/91,OFOC - ABNJ,OFOC
2029,price,Total,atlantic,1281.6632134010283,1296.9826879541529,0.01195280818934697,RD/TN/RL/91,OFOC - ABNJ,OFOC
2030,price,Total,atlantic,1281.068107994442,1296.1262777227062,0.011754386542209883,RD/TN/RL/91,OFOC - ABNJ,OFOC
2031,price,Total,atlantic,1280.6584594534447,1295.4991924385517,0.01158836134299281,RD/TN/RL/91,OFOC - ABNJ,OFOC
2032,price,Total,atlantic,1280.3772391399707,1295.039504021389,0.011451519468798773,RD/TN/RL/91,OFOC - ABNJ,OFOC
2033,price,Total,atlantic,1280.1847630103377,1294.7019442093072,0.01133991093975564,RD/TN/RL/91,OFOC - ABNJ,OFOC
2034,price,Total,atlantic,1280.0534866714736,1294.45361014258,0.01124962637971559,RD/TN/RL/91,OFOC - ABNJ,OFOC
2035,price,Total,atlantic,1279.9643329484204,1294.2706568586264,0.011177127004196341,RD/TN/RL/91,OFOC - ABNJ,OFOC
2036,price,Total,atlantic,1279.9041136220962,1294.135815805073,0.011119350294688385,RD/TN/RL/91,OFOC - ABNJ,OFOC
2037,price,Total,atlantic,1279.8637266056865,1294.0365664261888,0.01107371005668701,RD/TN/RL/91,OFOC - ABNJ,OFOC
2038,price,Total,atlantic,1279.8368994524049,1293.963805694302,0.011038051995485921,RD/TN/RL/91,OFOC - ABNJ,OFOC
2039,price,Total,atlantic,1279.819315971288,1293.9108881569193,0.01101059501898271,RD/TN/RL/91,OFOC - ABNJ,OFOC
2040,price,Total,atlantic,1279.808010475366,1293.8729370768037,0.010989872298278167,RD/TN/RL/91,OFOC - ABNJ,OFOC
2041,price,Total,atlantic,1279.800948418051,1293.8463516174022,0.010974677911211657,RD/TN/RL/91,OFOC - ABNJ,OFOC
2042,price,Total,atlantic,1279.7967365103843,1293.8284546769455,0.010964020899773034,RD/TN/RL/91,OFOC - ABNJ,OFOC
2043,price,Total,atlantic,1279.7944226007114,1293.8172411076014,0.010957086747099384,RD/TN/RL/91,OFOC - ABNJ,OFOC
2044,price,Total,atlantic,1279.7933576757096,1293.8111973683324,0.010953205537870004,RD/TN/RL/91,OFOC - ABNJ,OFOC
2045,price,Total,atlantic,1279.7931007922161,1293.8091719469735,0.010951825842850023,RD/TN/RL/91,OFOC - ABNJ,OFOC
2046,price,Total,atlantic,1279.7933536422418,1293.8102818729576,0.010952493377797454,RD/TN/RL/91,OFOC - ABNJ,OFOC
2047,price,Total,atlantic,1279.7939155517286,1293.8138449237729,0.01095483358818769,RD/TN/RL/91,OFOC - ABNJ,OFOC
2048,price,Total,atlantic,1279.7946525572918,1293.819330170304,0.010958537438008585,RD/TN/RL/91,OFOC - ABNJ,OFOC
2049,price,Total,atlantic,1279.795476174722,1293.826321657996,0.01096334980430777,RD/TN/RL/91,OFOC - ABNJ,OFOC
2050,price,Total,atlantic,1279.79632883508,1293.8344915387727,0.010969059988217643,RD/TN/RL/91,OFOC - ABNJ,OFOC
2051,price,Total,atlantic,1279.7971739049692,1293.8435800382108,0.010975493945171503,RD/TN/RL/91,OFOC - ABNJ,OFOC
2052,price,Total,atlantic,1279.797988856655,1293.85338039601,0.010982507912761928,RD/TN/RL/91,OFOC - ABNJ,OFOC
2053,price,Total,atlantic,1279.798760601133,1293.8637274491693,0.010989983176284667,RD/TN/RL/91,OFOC - ABNJ,OFOC
2054,price,Total,atlantic,1279.7994823054896,1293.8744889026884,0.010997821761768058,RD/TN/RL/91,OFOC - ABNJ,OFOC
2055,price,Total,atlantic,1279.8001512280625,1293.8855585984443,0.011005942886368436,RD/TN/RL/91,OFOC - ABNJ,OFOC
2056,price,Total,atlantic,1279.800767250913,1293.8968512818346,0.011014280028289808,RD/TN/RL/91,OFOC - ABNJ,OFOC
2057,price,Total,atlantic,1279.8013318895196,1293.9082985005152,0.011022778504354177,RD/TN/RL/91,OFOC - ABNJ,OFOC
2058,price,Total,atlantic,1279.8018476286245,1293.9198453661509,0.011031393464297573,RD/TN/RL/91,OFOC - ABNJ,OFOC
2059,price,Total,atlantic,1279.8023174805955,1293.9314479796662,0.011040088227754694,RD/TN/RL/91,OFOC - ABNJ,OFOC
2060,price,Total,atlantic,1279.8027446952487,1293.9430713708912,0.01104883290354997,RD/TN/RL/91,OFOC - ABNJ,OFOC
2061,price,Total,atlantic,1279.8031325724553,1293.9546878402455,0.011057603241949394,RD/TN/RL/91,OFOC - ABNJ,OFOC
2062,price,Total,atlantic,1279.8034843442103,1293.9662756171074,0.011066379679497635,RD/TN/RL/91,OFOC - ABNJ,OFOC
2063,price,Total,atlantic,1279.8038031033902,1293.9778177694523,0.011075146543315092,RD/TN/RL/91,OFOC - ABNJ,OFOC
2064,price,Total,atlantic,1279.8040917636465,1293.9893013142216,0.011083891387647498,RD/TN/RL/91,OFOC - ABNJ,OFOC
2065,price,Total,atlantic,1279.8043530398502,1294.0007164890635,0.01109260444027516,RD/TN/RL/91,OFOC - ABNJ,OFOC
2066,price,Total,atlantic,1279.8045894418906,1294.0120561545364,0.011101278140314773,RD/TN/RL/91,OFOC - ABNJ,OFOC
2067,price,Total,atlantic,1279.8048032769577,1294.0233153023278,0.011109906752157322,RD/TN/RL/91,OFOC - ABNJ,OFOC
2068,price,Total,atlantic,1279.8049966570302,1294.034490650022,0.011118486042921058,RD/TN/RL/91,OFOC - ABNJ,OFOC
2069,price,Total,atlantic,1279.805171509377,1294.0455803067948,0.011127013012943937,RD/TN/RL/91,OFOC - ABNJ,OFOC
2070,price,Total,atlantic,1279.805329588615,1294.056583497451,0.011135485670634672,RD/TN/RL/91,OFOC - ABNJ,OFOC
2071,price,Total,atlantic,1279.8054724893796,1294.067500334581,0.011143902844437732,RD/TN/RL/91,OFOC - ABNJ,OFOC
