Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2021,biomass,Total,atlantic,117869154.54088083,118000457.94323044,0.001113975941042878,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2022,biomass,Total,atlantic,118891655.30745421,119219826.59309407,0.0027602549967968757,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2023,biomass,Total,atlantic,119615570.28871897,120165706.5764102,0.004599202983051106,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2024,biomass,Total,atlantic,120123029.19662736,120896808.7786114,0.006441559017941983,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2025,biomass,Total,atlantic,120475657.30298245,121462331.6914591,0.008189823658693822,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2026,biomass,Total,atlantic,120718739.01779187,121901872.58767171,0.009800744934102329,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2027,biomass,Total,atlantic,120885018.28914079,122246390.18529463,0.011261708981154455,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2028,biomass,Total,atlantic,120997871.43040486,122519574.94162183,0.012576283311663185,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2029,biomass,Total,atlantic,121073816.00251731,122739267.87580474,0.013755673425315983,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2030,biomass,Total,atlantic,121124424.12245502,122918748.88161534,0.014813897132309904,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2031,biomass,Total,atlantic,121157744.70671766,123067823.45339268,0.015765222035939105,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2032,biomass,Total,atlantic,121179340.93136808,123193696.71699251,0.016622930692165534,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2033,biomass,Total,atlantic,121193036.20576663,123301653.33573465,0.017398830790804832,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2034,biomass,Total,atlantic,121201444.53037238,123395573.61348252,0.018103159509458674,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2035,biomass,Total,atlantic,121206344.13363193,123478318.07716,0.018744678422304227,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2036,biomass,Total,atlantic,121208938.71237929,123552010.01899365,0.019330845822966125,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2037,biomass,Total,atlantic,121210038.91225977,123618240.82585938,0.01986800709917133,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2038,biomass,Total,atlantic,121210187.69261831,123678217.97545485,0.020361574631790166,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2039,biomass,Total,atlantic,121209746.49365352,123732871.07695128,0.020816185630995184,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2040,biomass,Total,atlantic,121208954.19133624,123782927.55672878,0.021235835112720723,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2041,biomass,Total,atlantic,121207967.2625992,123828966.57627381,0.02162398539360183,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2042,biomass,Total,atlantic,121206887.03913106,123871457.44588509,0.021983655152316452,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2043,biomass,Total,atlantic,121205778.12826154,123910787.05037591,0.02231749149163414,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2044,biomass,Total,atlantic,121204680.81591143,123947279.51314165,0.02262782822220987,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2045,biomass,Total,atlantic,121203619.38537358,123981210.38676259,0.02291673314274146,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2046,biomass,Total,atlantic,121202607.6746119,124012816.98377757,0.023186046596539698,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2047,biomass,Total,atlantic,121201652.77315433,124042305.98081976,0.023437413126552856,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2048,biomass,Total,atlantic,121200757.47010672,124069859.0896858,0.02367230766100385,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2049,biomass,Total,atlantic,121199921.86679909,124095637.35028854,0.02389205734531659,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2050,biomass,Total,atlantic,121199144.43269907,124119784.43357885,0.024097859886309577,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2051,biomass,Total,atlantic,121198422.6916964,124142429.22624922,0.024290799081121323,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2052,biomass,Total,atlantic,121197753.66397288,124163687.88820128,0.02447185805482505,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2053,biomass,Total,atlantic,121197134.14696792,124183665.51763374,0.024641930617305234,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2054,biomass,Total,atlantic,121196560.89094333,124202457.51963073,0.024801831063442484,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2055,biomass,Total,atlantic,121196030.70590603,124220150.74702713,0.02495230267449449,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2056,biomass,Total,atlantic,121195540.52414052,124236824.46342078,0.0250940251277189,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2057,biomass,Total,atlantic,121195087.43428944,124252551.1649567,0.025227620981955926,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2058,biomass,Total,atlantic,121194668.69741026,124267397.28816867,0.025353661376229106,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2059,biomass,Total,atlantic,121194281.75179665,124281423.82452406,0.02547267105431438,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2060,biomass,Total,atlantic,121193924.21095991,124294686.85755134,0.025585132809083626,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2061,biomass,Total,atlantic,121193593.85759543,124307238.03496464,0.025691491425097874,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2062,biomass,Total,atlantic,121193288.63533513,124319124.98564874,0.0257921571855278,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2063,biomass,Total,atlantic,121193006.63942036,124330391.68946,0.025887508999377685,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2064,biomass,Total,atlantic,121192746.10699919,124341078.80634937,0.025977897196673507,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2065,biomass,Total,atlantic,121192505.40747556,124351223.97019558,0.02606364603239876,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2066,biomass,Total,atlantic,121192283.03316036,124360862.051859,0.026145055934227,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2067,biomass,Total,atlantic,121192077.59036279,124370025.39526777,0.026222405524283985,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
2068,biomass,Total,atlantic,121191887.79099116,124378744.02978325,0.026295953441109677,RD/TN/RL/121,OFOC - Negative effects + ABNJ,OFOC
